#{"t_start": 1707423680.135798, "env_id": "None"}
r,l,t
-15.111111,50,4.60684
-17.046971,50,4.776646
-15.350172,50,5.308545
-16.449576,50,5.599699
-10.499861,50,6.008139
-13.907162,50,6.412011
-15.343,50,7.173053
-14.403096,50,7.808449
-18.454173,50,8.201933
-9.122132,50,9.073101
-15.305745,50,13.668507
-17.303569,50,14.918031
-15.326574,50,15.208054
-15.667286,50,15.364268
-13.5352,50,15.518434
-18.602459,50,15.669326
-13.029727,50,15.818769
-15.377354,50,16.210014
-14.246691,50,16.601138
-15.445287,50,16.99855
-12.540453,50,19.941113
-12.802797,50,20.341353
-13.495574,50,20.743691
-13.403215,50,21.021071
-15.808953,50,21.294864
-18.770074,50,21.688021
-16.335896,50,22.07879
-11.659979,50,22.469308
-19.672302,50,22.856156
-14.859471,50,23.622919
-12.261172,50,25.751328
-12.19171,50,26.15121
-16.765546,50,26.43111
-15.360775,50,26.587732
-10.997405,50,26.981953
-14.664182,50,27.493409
-14.283035,50,27.763114
-14.274524,50,28.153361
-15.395231,50,28.545772
-17.312953,50,28.941191
-13.641192,50,31.034856
-15.227156,50,31.195946
-15.252954,50,31.355314
-15.571534,50,31.510809
-16.281519,50,31.903795
-12.04975,50,32.295895
-18.027927,50,32.685382
-10.375567,50,33.074121
-14.812487,50,33.463168
-15.005271,50,33.86059
-9.463347,50,34.620749
-17.093958,50,37.788602
-10.42695,50,38.191288
-12.791421,50,38.592783
-15.207765,50,38.98813
-17.26078,50,39.381724
-10.747634,50,40.378563
-15.6688,50,40.777643
-12.858501,50,40.929983
-15.63986,50,41.084791
-14.310593,50,41.24762
-15.325561,50,42.125592
-13.760953,50,42.286842
-15.715265,50,42.688242
-11.925428,50,42.842485
-14.709535,50,42.995289
-13.323379,50,43.14779
-9.727584,50,43.296957
-20.675994,50,43.685891
-13.248782,50,44.803107
-11.29191,50,45.079945
-14.796158,50,48.378499
-13.90691,50,48.773785
-12.935852,50,49.174546
-14.978061,50,49.574119
-9.405537,50,49.969435
-16.217718,50,50.362722
-12.989098,50,51.119321
-19.071895,50,51.871982
-13.555179,50,52.62788
-14.002369,50,52.90647
-13.715954,50,54.266766
-13.929193,50,54.66128
-16.263169,50,55.06509
-11.867763,50,55.464427
-15.924716,50,55.858815
-15.227668,50,56.983225
-11.971484,50,57.375286
-14.32843,50,58.128464
-13.04013,50,58.281335
-9.794889,50,58.68105
-16.284578,50,59.08454
-14.220078,50,60.924534
-5.218823,50,61.326041
-12.776673,50,61.731775
-11.285952,50,62.133377
-10.968691,50,62.651333
-12.068306,50,63.031144
-14.175329,50,63.282164
-14.005505,50,63.416226
-8.797437,50,63.798406
-12.388083,50,63.943729
-12.829822,50,64.722436
-13.188756,50,64.852455
-10.346433,50,64.987248
-10.527079,50,65.123841
-12.97082,50,65.25686
-12.641518,50,65.871559
-12.014679,50,66.241002
-12.633579,50,66.616987
-11.664465,50,67.835601
-10.097122,50,68.220908
-13.557164,50,70.05188
-9.564757,50,70.182212
-14.475125,50,70.319165
-12.775012,50,70.455113
-14.004887,50,70.590299
-11.763787,50,70.965238
-15.875741,50,71.338369
-14.557595,50,71.711862
-15.090498,50,72.332657
-13.50593,50,72.715767
-13.560463,50,74.851995
-16.283187,50,74.979656
-13.560132,50,75.113851
-11.832829,50,75.250667
-11.958732,50,75.397363
-14.88948,50,76.011323
-13.603421,50,76.164469
-13.997824,50,77.004956
-7.213387,50,77.828969
-11.828681,50,78.571852
-13.118088,50,78.955898
-8.428645,50,80.776739
-15.343835,50,81.247952
-18.199575,50,81.369617
-14.245504,50,81.733999
-15.768041,50,82.347947
-9.992457,50,82.730301
-12.353242,50,83.108298
-14.98246,50,83.722096
-13.054363,50,84.463358
-11.455273,50,84.728744
-12.761097,50,86.391892
-9.67248,50,86.761913
-18.682369,50,87.135415
-12.78065,50,87.26993
-13.047501,50,87.636567
-13.130627,50,88.930346
-12.47773,50,89.434821
-13.080118,50,90.304005
-14.054156,50,90.80621
-14.582654,50,92.497419
-12.766489,50,94.385065
-14.130112,50,94.516067
-11.492005,50,94.879285
-13.960501,50,95.708449
-14.607722,50,96.77127
-13.386972,50,97.152687
-15.945071,50,97.541636
-17.49918,50,98.39538
-8.862704,50,99.24489
-12.867757,50,100.579674
-16.694206,50,104.911026
-12.367564,50,105.2878
-13.188314,50,105.898764
-13.541591,50,106.271334
-12.227472,50,106.639983
-17.197844,50,107.263903
-6.809084,50,108.024072
-13.193771,50,108.67152
-16.683851,50,109.195771
-14.882166,50,109.847559
-13.544065,50,110.97974
-8.927696,50,115.102579
-15.820807,50,116.178663
-13.699402,50,116.326774
-9.081447,50,116.70769
-14.886381,50,117.094815
-10.634734,50,118.641334
-13.074432,50,119.267206
-16.198151,50,120.377263
-15.541445,50,121.373179
-15.527941,50,121.793378
-13.60342,50,125.896008
-10.859293,50,126.279412
-14.708182,50,126.6603
-13.751995,50,127.501777
-12.145257,50,128.812707
-16.941463,50,129.660847
-13.740696,50,130.6517
-14.397727,50,131.2794
-18.096783,50,131.677467
-12.572209,50,132.310646
-14.714248,50,137.314667
-14.757928,50,138.619694
-8.587211,50,139.462988
-9.450439,50,140.537763
-10.284793,50,141.387691
-11.331674,50,142.698967
-13.794826,50,143.469584
-9.562728,50,143.875034
-11.640385,50,144.270906
-11.167745,50,144.672027
-14.546963,50,149.681717
-13.97265,50,150.534298
-9.318437,50,150.803926
-15.964197,50,151.798795
-11.245893,50,152.558297
-15.399033,50,153.199909
-16.790337,50,153.497967
-15.591917,50,153.786077
-11.293098,50,154.55117
-11.122334,50,154.958476
-12.315698,50,155.360021
-9.772552,50,157.678281
-12.79462,50,158.068917
-14.972329,50,158.461284
-11.746859,50,158.615528
-11.315045,50,158.777832
-10.733766,50,158.942426
-15.319997,50,159.102797
-12.654668,50,159.266394
-11.782108,50,159.43205
-10.363433,50,159.837525
-12.604269,50,163.197174
-16.362582,50,163.586382
-12.251013,50,163.738563
-14.331622,50,164.134234
-18.125969,50,164.293115
-13.930458,50,164.456172
-12.173113,50,164.740535
-14.833966,50,165.505416
-13.960816,50,165.911292
-14.32405,50,166.316407
-13.395032,50,169.817332
-12.483246,50,169.96704
-10.653033,50,170.120331
-9.737666,50,170.274689
-12.430097,50,170.432622
-15.207389,50,170.839897
-11.767286,50,171.000689
-12.462844,50,171.404293
-10.089801,50,171.809416
-8.378692,50,172.094133
-10.071987,50,174.497941
-13.970702,50,174.649205
-14.253351,50,174.800836
-10.13573,50,174.956425
-14.122744,50,175.115933
-10.933446,50,175.518471
-13.227795,50,175.919199
-7.221863,50,176.559325
-10.417862,50,177.086564
-13.590197,50,177.731828
-9.716308,50,178.496388
-10.961768,50,179.692311
-17.51862,50,180.084575
-15.92104,50,180.479358
-14.027096,50,180.635695
-10.039946,50,180.796194
-13.537305,50,180.95464
-9.973806,50,181.114124
-12.313047,50,181.27865
-12.936478,50,181.921702
-6.608426,50,182.446463
-12.774522,50,185.570761
-12.196432,50,185.73235
-9.72354,50,185.888294
-9.305034,50,186.281978
-13.038855,50,186.441249
-12.025503,50,186.600469
-10.793976,50,186.761419
-13.074175,50,186.924924
-14.697948,50,187.323972
-15.002041,50,188.087724
-11.586363,50,191.340011
-12.334277,50,191.731514
-15.823447,50,192.124237
-11.1101,50,192.40033
-11.8371,50,192.799439
-11.784333,50,193.200351
-13.370592,50,193.602178
-8.032711,50,194.006976
-13.815741,50,195.017193
-7.617514,50,195.793191
-9.423535,50,197.120802
-12.518397,50,197.510317
-12.569474,50,197.904326
-11.562633,50,198.296923
-10.868795,50,198.697523
-8.451078,50,199.100947
-10.818888,50,199.502666
-12.106332,50,200.510463
-11.966158,50,201.049026
-12.365428,50,201.216855
-12.599222,50,202.658604
-10.987695,50,203.05091
-14.034818,50,204.408659
-13.243181,50,204.814962
-14.673527,50,205.344218
-11.850572,50,205.751307
-11.784341,50,206.512192
-6.246394,50,206.671496
-10.194594,50,206.834909
-14.221002,50,206.99376
-15.967832,50,207.150092
-13.547828,50,209.667528
-12.690023,50,210.062582
-9.992567,50,210.457407
-9.482197,50,210.852215
-16.297472,50,211.254865
