#{"t_start": 1707452631.5609956, "env_id": "None"}
r,l,t
-15.948966,50,2.715976
-18.675688,50,2.87546
-20.507095,50,3.030261
-21.075368,50,3.183481
-15.450351,50,3.340501
-21.426906,50,3.734179
-17.845046,50,4.125359
-17.609911,50,4.51427
-20.703946,50,5.145476
-18.455951,50,6.265346
-15.069727,50,9.005972
-16.966688,50,9.158317
-19.102722,50,9.429251
-15.969384,50,10.055711
-18.422516,50,10.807765
-20.873638,50,11.194528
-18.196291,50,11.583191
-14.549151,50,12.701619
-17.099887,50,13.474897
-16.368971,50,13.770511
-18.486466,50,14.637302
-15.994565,50,14.911969
-14.756266,50,15.54663
-11.81941,50,16.666433
-16.943062,50,17.059439
-13.649856,50,17.448612
-15.725556,50,18.438474
-17.324444,50,18.832616
-16.290364,50,19.116264
-20.342177,50,19.288289
-16.603656,50,20.163827
-16.610874,50,20.436754
-14.854109,50,21.430225
-11.098852,50,21.940609
-16.280211,50,22.326817
-14.757594,50,22.953791
-15.697291,50,23.340417
-17.141673,50,23.734158
-13.384372,50,24.133014
-13.425844,50,24.545163
-16.401462,50,25.668709
-17.287531,50,26.542121
-10.586735,50,27.297164
-12.838466,50,27.687682
-14.00228,50,28.79617
-13.110759,50,29.302189
-15.267071,50,29.689402
-13.307916,50,29.841725
-20.158769,50,30.238718
-13.477651,50,30.410128
-13.937914,50,30.583368
-17.329186,50,31.939953
-13.147123,50,32.336148
-11.180705,50,33.208814
-16.226974,50,33.597775
-14.625682,50,34.351978
-12.952321,50,34.750761
-13.227101,50,35.146046
-17.273876,50,35.786818
-13.81132,50,35.956488
-14.469278,50,36.24981
-18.489777,50,37.720411
-14.856771,50,38.11326
-14.168837,50,38.873061
-18.304907,50,39.635575
-12.118669,50,40.15531
-19.320843,50,40.313973
-14.445961,50,40.463675
-13.762232,50,40.616918
-14.412278,50,40.787147
-12.905821,50,40.961311
-13.813817,50,42.430076
-11.101733,50,42.826518
-12.984488,50,43.219362
-12.212956,50,43.969149
-16.123169,50,44.603589
-15.92855,50,45.00303
-14.008129,50,45.765116
-12.398265,50,46.171988
-13.855166,50,46.350304
-11.868436,50,46.522989
-12.083511,50,47.6344
-14.912318,50,47.907341
-14.237346,50,48.780673
-10.520977,50,49.294874
-14.569169,50,50.045412
-13.657496,50,50.681458
-14.40449,50,51.194677
-12.017568,50,51.945389
-11.655876,50,52.233073
-11.191308,50,52.405453
-16.911045,50,52.574757
-15.674674,50,53.441366
-12.169044,50,53.834103
-14.379887,50,54.59014
-10.16495,50,54.979893
-14.244864,50,55.367337
-11.914561,50,55.757305
-13.290037,50,56.515207
-9.490592,50,56.916941
-9.670383,50,57.329165
-12.284127,50,57.739528
-15.311129,50,59.676703
-15.145433,50,60.309597
-12.69817,50,60.701891
-13.967863,50,61.091938
-10.608296,50,61.478354
-11.561453,50,62.468184
-10.361123,50,63.23157
-8.682092,50,63.39495
-12.024083,50,63.689152
-9.09715,50,63.858927
-16.764684,50,65.559746
-9.905104,50,65.95226
-8.246631,50,66.347534
-13.199833,50,66.985458
-15.949443,50,67.495325
-9.333002,50,68.366861
