#{"t_start": 1707394497.4460557, "env_id": "None"}
r,l,t
-12.21178,50,0.674699
-15.69561,50,0.738787
-12.558691,50,1.045172
-15.515417,50,1.108421
-12.078631,50,1.172038
-15.716105,50,1.717278
-15.883505,50,1.900995
-14.702126,50,1.965073
-13.619345,50,2.027581
-13.365852,50,2.09074
-9.766098,50,2.58407
-12.863535,50,2.646773
-13.694044,50,2.709383
-14.702977,50,3.133109
-13.722,50,3.436283
-11.883236,50,3.499197
-16.337623,50,3.683326
-14.704925,50,3.868008
-11.297189,50,4.293323
-13.493254,50,4.476554
-13.559061,50,6.658148
-11.327111,50,6.722178
-17.976293,50,6.785224
-10.577496,50,6.849346
-14.354459,50,6.914253
-12.114505,50,6.977273
-13.517766,50,7.040065
-13.329428,50,7.104036
-12.315041,50,7.166465
-12.352788,50,7.229026
-10.340438,50,8.201591
-14.148429,50,8.497657
-12.685281,50,8.561238
-16.392242,50,8.623851
-11.310449,50,8.929899
-11.931773,50,8.992778
-15.633821,50,9.415949
-11.920543,50,9.720257
-13.961092,50,9.783382
-15.079532,50,10.450123
-11.497625,50,11.504013
-14.524227,50,11.577277
-10.701472,50,11.881954
-11.155725,50,11.945029
-15.295071,50,12.489362
-10.920854,50,12.552927
-10.934922,50,12.737267
-8.526225,50,12.922216
-14.1172,50,12.985627
-13.711191,50,13.049054
-12.91333,50,13.111889
-11.211116,50,13.603871
-14.541781,50,13.666965
-16.21359,50,13.730108
-13.139591,50,13.914321
-11.794157,50,14.578002
-11.933643,50,14.641385
-13.012781,50,14.705295
-13.267872,50,14.889094
-11.883843,50,15.072765
-10.919528,50,15.256589
-15.112839,50,16.854223
-16.073966,50,17.038267
-13.930565,50,17.221826
-17.930416,50,17.406014
-11.798758,50,17.468841
-15.52832,50,17.532407
-15.506377,50,17.595928
-10.693604,50,17.658209
-13.663112,50,17.722764
-16.116513,50,17.785647
-15.245808,50,19.047962
-16.478045,50,19.110845
-14.144222,50,19.174548
-14.484963,50,19.238478
-11.988384,50,19.302217
-11.832191,50,19.36526
-14.067008,50,19.428771
-12.913385,50,19.732589
-13.139526,50,19.795961
-13.59426,50,20.102408
-13.428772,50,22.697827
-12.689042,50,22.761189
-12.006715,50,22.945324
-11.594443,50,23.128284
-15.247117,50,23.311824
-13.989301,50,23.494482
-10.700103,50,23.678439
-13.800058,50,23.742051
-11.804797,50,23.925568
-7.696968,50,23.989247
-15.191639,50,24.054139
-15.454362,50,24.784856
-10.61943,50,24.848432
-15.129778,50,24.912003
-8.161048,50,24.975747
-16.178487,50,25.039117
-14.625842,50,25.101804
-14.464383,50,25.286167
-14.136566,50,25.469682
-17.320772,50,25.77294
-11.161129,50,25.837461
-11.282859,50,27.265421
-12.000717,50,27.451831
-12.090225,50,27.634266
-9.698688,50,28.057656
-11.861658,50,28.361246
-12.636955,50,28.423753
-12.81006,50,28.846556
-11.167078,50,29.030208
-10.194841,50,29.213681
-11.838846,50,29.276592
-12.007454,50,29.872344
-14.534424,50,29.936387
-15.580761,50,29.99979
-15.362919,50,30.064177
-10.018852,50,30.127238
-15.914557,50,30.189837
-11.923118,50,30.253063
-10.950816,50,30.315937
-15.562821,50,30.378964
-13.137855,50,30.685104
-15.048104,50,32.127568
-11.134548,50,32.311195
-12.047232,50,32.374604
-10.079574,50,32.558406
-12.424838,50,33.101964
-16.108181,50,33.164346
-10.284491,50,33.348301
-9.860828,50,33.532037
-11.893769,50,33.717987
-10.742238,50,33.900909
-14.733849,50,34.083558
-8.681932,50,34.816193
-14.778466,50,34.880383
-9.898227,50,34.944945
-12.10194,50,35.008985
-15.177203,50,35.071956
