#{"t_start": 1707382193.1287143, "env_id": "None"}
r,l,t
-16.15795,50,0.533919
-19.457217,50,0.594547
-21.274487,50,1.375737
-19.173873,50,2.042056
-19.292011,50,2.103244
-20.276913,50,2.16437
-21.054187,50,2.345368
-20.311791,50,2.52887
-18.130685,50,2.709455
-16.012099,50,2.769873
-19.175202,50,3.257127
-12.614318,50,3.317512
-16.877569,50,3.378834
-16.148466,50,3.438852
-18.678747,50,3.498926
-16.842364,50,3.799616
-20.60835,50,3.859579
-17.429657,50,3.919764
-18.598056,50,4.10043
-14.004149,50,4.281521
-13.584001,50,5.459631
-15.770184,50,5.883924
-19.77038,50,6.06751
-17.72197,50,6.248395
-19.943194,50,6.668715
-21.359103,50,6.849401
-14.783959,50,7.030113
-15.420451,50,7.210806
-19.308036,50,7.270586
-13.18924,50,7.939204
-13.051313,50,8.654001
-17.281345,50,8.714259
-19.463791,50,8.774391
-17.296108,50,8.834798
-15.164166,50,8.895719
-15.563616,50,8.955755
-13.330108,50,9.015709
-11.127032,50,9.197009
-19.848513,50,9.377626
-16.95701,50,9.558349
-18.696055,50,11.348354
-16.338444,50,11.528947
-13.874503,50,11.589158
-18.317505,50,11.770168
-14.29225,50,12.431155
-15.572115,50,12.491527
-17.787313,50,12.551691
-18.277465,50,12.732491
-12.12617,50,12.793415
-15.122297,50,12.853348
-11.356658,50,12.913746
-13.575521,50,13.404838
-10.209351,50,13.465321
-12.071462,50,13.525548
-17.22706,50,13.826394
-16.382557,50,13.886681
-16.683976,50,13.946858
-17.109761,50,14.007352
-17.137781,50,14.067545
-8.817907,50,14.128086
-22.524172,50,14.189344
-14.351163,50,15.181069
-12.12038,50,15.241433
-13.457197,50,15.301825
-17.843179,50,15.482644
-15.172606,50,15.663418
-16.156162,50,16.08411
-11.675969,50,16.747572
-14.360391,50,16.807935
-13.592006,50,16.868106
-15.244874,50,17.048668
-15.446292,50,18.362618
-10.952955,50,18.42291
-16.29537,50,18.843271
-14.001835,50,19.143456
-12.036514,50,19.203619
-18.371604,50,19.384341
-11.877622,50,19.4445
-13.824882,50,19.744802
-10.460532,50,19.804682
-13.949715,50,19.865366
-18.022439,50,21.080884
-17.373411,50,21.141246
-11.793749,50,21.201726
-11.182594,50,21.382344
-9.31102,50,21.565546
-16.294292,50,21.746465
-14.473692,50,22.16658
-15.898316,50,22.467247
-17.416249,50,22.527273
-12.911364,50,22.587031
-14.928156,50,23.130375
-13.260255,50,24.035584
-12.645906,50,24.095774
-10.690966,50,24.156178
-12.552332,50,24.217727
-13.146111,50,24.27775
-14.424948,50,24.337669
-16.054849,50,24.518459
-10.753706,50,24.82128
-18.547798,50,24.881316
-12.76865,50,24.941417
-12.779346,50,25.896954
-15.256406,50,26.077864
-13.09205,50,26.260861
-16.823157,50,26.561492
-14.830372,50,26.621571
