#{"t_start": 1707403902.77698, "env_id": "None"}
r,l,t
-14.444101,50,0.079263
-11.384679,50,0.265192
-16.919093,50,0.450394
-18.261208,50,0.635543
-14.258966,50,0.8201
-12.516524,50,0.884598
-11.515533,50,1.072301
-10.556609,50,1.257375
-10.617143,50,1.441794
-12.318022,50,1.629377
-10.085037,50,2.063521
-10.734995,50,2.368603
-13.431107,50,2.433139
-13.725094,50,2.740985
-8.959455,50,2.805365
-8.663995,50,3.230116
-11.135151,50,3.774302
-16.626074,50,3.838063
-8.422126,50,3.901256
-11.248862,50,3.96419
-10.780844,50,4.364418
-8.994671,50,4.428898
-13.670085,50,4.492606
-13.55227,50,4.555968
-13.173,50,4.618817
-13.7291,50,4.683052
-15.440039,50,4.746027
-11.492083,50,4.808933
-17.566103,50,5.112946
-12.059636,50,5.176236
-12.306861,50,5.341741
-12.902939,50,5.650548
-10.512465,50,5.713551
-12.777414,50,5.777437
-11.38625,50,6.081049
-14.172477,50,6.1444
-17.076344,50,6.328171
-14.304526,50,6.512559
-10.354634,50,6.576173
-12.55021,50,6.759906
-14.095223,50,7.289766
-13.664564,50,7.731322
-13.470088,50,8.27705
-13.444893,50,8.340013
-13.769334,50,8.643847
-16.440133,50,8.70704
-15.632718,50,9.010166
-8.97485,50,9.073312
-11.385217,50,9.496803
-15.09337,50,9.80043
-9.75997,50,9.863837
-15.66487,50,10.504023
-15.086117,50,10.567998
-13.549116,50,10.630777
-11.473076,50,10.694225
-15.683846,50,10.878006
-11.908344,50,10.941507
-13.866715,50,11.004774
-15.684492,50,11.067269
-13.395613,50,11.251819
-11.540403,50,11.437858
-13.014729,50,11.835277
-14.507476,50,12.018863
-11.387734,50,12.202801
-11.928484,50,12.265195
-10.979331,50,12.448885
-14.75842,50,12.635086
-12.111153,50,12.937969
-14.759131,50,13.000411
-14.205434,50,13.426348
-14.793426,50,13.610254
-11.55382,50,14.486518
-8.986028,50,14.549967
-11.755509,50,14.613828
-13.293413,50,14.922688
-11.946372,50,14.986249
-15.308643,50,15.050057
-13.096666,50,15.113594
-9.902454,50,15.176897
-15.011635,50,15.483325
-16.251327,50,15.546985
-10.319921,50,15.708458
-12.011124,50,15.78024
-13.258037,50,15.844312
-10.540001,50,15.907717
-12.405359,50,15.971475
-12.158678,50,16.03618
-13.980146,50,16.098612
-14.594521,50,16.162373
-14.220613,50,16.226642
-19.697012,50,16.289241
-13.350227,50,16.351476
-16.990156,50,16.50801
-11.837895,50,16.57127
-13.408655,50,16.635777
-8.256761,50,16.699114
-14.667616,50,16.762432
-12.809985,50,17.549451
-10.569972,50,17.73313
-13.23064,50,17.919611
-11.061052,50,18.223241
-15.61891,50,18.286335
-9.21818,50,18.722071
-14.688597,50,19.025199
-12.864313,50,19.088993
-10.484134,50,19.392833
-10.241776,50,19.456512
-14.188382,50,19.519892
-15.189149,50,20.186159
-16.214644,50,20.249563
-11.22942,50,20.313372
-11.659695,50,20.85677
-12.181569,50,21.251409
-16.114636,50,21.676656
-14.134535,50,21.980253
-14.380225,50,22.043833
-12.940421,50,22.230094
-12.62768,50,22.413758
-11.98348,50,22.477545
-17.522247,50,22.6609
-13.520427,50,22.8446
-8.708457,50,23.029038
-8.565938,50,23.424897
-12.342123,50,23.608907
-11.528064,50,23.915491
-13.618085,50,23.978278
-10.781209,50,24.041287
-12.835416,50,24.58531
-11.448291,50,24.768943
-17.340635,50,24.832974
-11.432983,50,25.619098
-13.757561,50,25.922732
-11.395122,50,25.986352
-10.555832,50,26.393102
-14.10822,50,26.697885
-11.156747,50,26.761292
-13.412869,50,26.947776
-9.815682,50,27.011671
-12.305603,50,27.074409
-11.72164,50,27.13757
-11.209096,50,27.201319
-14.172189,50,27.264547
-14.443751,50,27.327796
-17.461652,50,27.502521
-9.561446,50,27.565629
-10.630308,50,27.630625
-11.043239,50,27.694526
-12.436798,50,27.7572
-13.583089,50,27.941238
-15.774898,50,28.125706
-14.39427,50,28.309491
-14.773281,50,28.493242
-13.668847,50,28.556469
-10.653515,50,29.100878
-8.93727,50,29.524185
-11.597507,50,30.310587
-13.631636,50,30.61447
-10.581949,50,30.678041
-10.850625,50,31.10125
-11.911394,50,31.767501
-12.707638,50,31.830893
-13.923923,50,31.894407
-10.715763,50,32.197444
-13.914772,50,32.360432
-9.174522,50,32.430467
-11.579664,50,32.4952
-13.375316,50,32.558047
-13.386121,50,32.620959
-10.842069,50,32.683954
-15.984976,50,32.747921
-11.769287,50,32.81118
-14.650058,50,32.875066
-14.938747,50,32.939412
-13.650412,50,33.002503
-12.18148,50,33.400754
-12.866483,50,33.464807
-14.992129,50,33.648744
-11.321593,50,33.83265
-13.76714,50,34.016704
-12.230931,50,34.200601
-13.580714,50,34.384686
-12.430474,50,34.447617
-10.891496,50,34.631898
-15.705009,50,34.81772
-13.880619,50,35.976105
-12.98208,50,36.398968
-10.551489,50,36.702289
-10.749089,50,36.765385
-16.757188,50,36.82948
-13.650427,50,36.892315
-13.037858,50,36.955695
-9.20694,50,37.019734
-11.847733,50,37.082833
-12.271034,50,37.145601
-12.573216,50,37.312563
-10.879833,50,37.375882
-16.421727,50,37.439964
-10.623677,50,37.503623
-10.743943,50,37.566535
-10.212393,50,37.630842
-14.741414,50,37.694326
-13.764632,50,37.757808
-10.986923,50,38.061572
-13.53345,50,38.124448
-14.646507,50,38.560897
