#{"t_start": 1707367926.0423412, "env_id": "None"}
r,l,t
-13.040338,50,6.107999
-18.4065,50,7.140708
-14.267835,50,7.205476
-14.615013,50,7.269346
-13.692408,50,7.573428
-11.496978,50,7.638306
-16.050234,50,7.822392
-10.322303,50,7.887781
-14.1792,50,7.95169
-17.474476,50,8.014618
-15.89942,50,13.150996
-13.775287,50,13.336644
-13.769437,50,13.643466
-19.44925,50,13.707842
-12.53331,50,14.133741
-17.954485,50,14.31917
-15.64054,50,14.623127
-17.437195,50,14.688009
-14.880886,50,14.993239
-15.300895,50,15.056953
-13.759436,50,16.557589
-10.060695,50,16.621263
-11.487072,50,16.684075
-17.414613,50,17.440719
-12.375734,50,18.198412
-13.711426,50,18.261677
-10.27003,50,18.924932
-15.708248,50,18.988033
-13.986229,50,19.051171
-11.242671,50,19.235245
-15.42372,50,20.610511
-14.011817,50,20.794504
-15.069966,50,20.978047
-16.381242,50,21.16112
-15.732526,50,21.345512
-13.52521,50,21.408373
-9.565832,50,21.591572
-15.92259,50,21.775594
-13.355614,50,21.958876
-13.34894,50,22.142668
-17.719273,50,23.142679
-9.135231,50,23.207376
-11.153962,50,23.270416
-15.743899,50,23.333694
-14.387441,50,23.397909
-16.936218,50,23.461184
-18.248818,50,23.524498
-15.367155,50,24.048303
-16.876579,50,24.111498
-14.954045,50,24.175059
-12.736063,50,24.237954
-15.692429,50,24.672322
-13.395515,50,24.73563
-12.902292,50,24.801302
-15.386119,50,24.864448
-12.324583,50,24.927627
-14.956853,50,24.992169
-13.063387,50,25.055592
-13.752762,50,25.11872
-15.873754,50,25.182698
-12.064172,50,25.245341
-14.121164,50,25.684554
-10.130746,50,25.990091
-15.025914,50,26.054596
-12.683339,50,26.119665
-18.345978,50,26.42495
-15.327402,50,26.490231
-13.065839,50,26.916631
-15.921833,50,27.101882
-9.793981,50,27.286424
-8.590973,50,27.472021
-11.956082,50,29.222928
-11.56928,50,29.516968
-14.336455,50,29.581809
-14.448951,50,29.645343
-16.587789,50,29.941191
-12.078416,50,30.005306
-17.850013,50,30.069644
-14.86446,50,30.134618
-14.633675,50,30.197784
-15.127696,50,30.262249
-16.237594,50,31.023564
-14.313613,50,31.218748
-11.292836,50,31.28455
-16.270488,50,31.350031
-13.487908,50,31.413873
-16.771023,50,31.599036
-11.186251,50,31.663
-11.772304,50,31.726919
-10.257461,50,31.789834
-12.781034,50,31.973139
-11.632016,50,32.156894
-11.740517,50,34.164665
-11.811864,50,34.82935
-10.827097,50,34.893637
-16.066551,50,34.957503
-14.172491,50,35.261494
-9.668051,50,35.32496
-10.204355,50,35.512377
-14.388975,50,35.81621
-11.362479,50,35.880031
-11.740506,50,35.944473
-11.203696,50,37.37856
