#{"t_start": 1707423645.0544643, "env_id": "None"}
r,l,t
-13.632772,50,5.789585
-15.33315,50,6.186237
-17.38887,50,6.932313
-16.659798,50,7.067811
-9.615549,50,7.318534
-14.527472,50,7.692924
-16.710338,50,7.822701
-14.22033,50,7.953538
-14.773219,50,8.320399
-14.64325,50,8.679429
-20.56965,50,12.6426
-15.529882,50,12.77407
-17.297201,50,12.903519
-17.502378,50,13.032633
-12.038808,50,13.3928
-10.864465,50,14.1217
-14.447582,50,14.496688
-13.50804,50,14.997415
-9.476683,50,15.384168
-12.648589,50,16.862858
-7.834624,50,18.865058
-15.212848,50,19.231255
-11.219851,50,20.056028
-13.190016,50,20.881772
-9.428047,50,22.171535
-14.816418,50,22.995208
-11.840031,50,23.597168
-9.273824,50,24.205904
-8.793146,50,24.815397
-4.88296,50,25.194311
-13.346426,50,28.313322
0.735862,50,28.674934
0.991117,50,29.03524
-2.158548,50,29.398274
-1.062847,50,29.527282
-1.088783,50,29.888937
-3.117356,50,30.257543
-3.164904,50,31.095815
-1.034899,50,32.39609
-1.770093,50,33.235833
-2.701882,50,36.337291
-5.028237,50,36.589752
-8.496326,50,37.560036
-6.86125,50,37.929041
-7.783244,50,38.17977
-4.164359,50,38.553112
-6.774944,50,38.935285
-5.104794,50,39.706703
-4.328207,50,39.873842
-7.557628,50,40.399424
-7.196047,50,40.682986
0.460289,50,43.465627
-0.990216,50,44.216329
-1.17608,50,44.954176
-4.951558,50,45.078606
-3.67816,50,45.20525
-2.271302,50,45.588125
-4.860677,50,45.870134
-2.896192,50,46.159812
-3.922244,50,46.573551
-4.921611,50,47.105389
-1.877162,50,50.613588
-0.408546,50,50.761663
-0.32243,50,50.911665
-1.362224,50,51.300108
-0.110149,50,51.688004
-6.984075,50,52.084831
-3.384449,50,52.608433
-3.331255,50,53.380189
-0.202043,50,53.671145
-1.937046,50,54.448376
-0.289322,50,56.403847
-7.318274,50,56.79652
-8.241933,50,57.186102
-4.473251,50,57.576618
-5.193835,50,57.96421
-1.929891,50,58.730742
-5.129207,50,59.137735
-3.748216,50,59.549004
-7.954083,50,59.960675
-6.540646,50,60.367587
-3.127485,50,62.060873
-11.162114,50,62.575831
-14.743501,50,62.847085
