#{"t_start": 1707444019.3517985, "env_id": "None"}
r,l,t
-17.258367,50,1.975662
-14.861887,50,2.714977
-14.078376,50,2.973633
-16.22222,50,3.354014
-13.179109,50,3.729293
-11.370338,50,4.349402
-16.828221,50,5.098019
-14.598263,50,5.242517
-15.417098,50,5.386378
-10.536431,50,5.522005
-15.41331,50,7.233834
-13.468968,50,7.491178
-10.261697,50,8.229387
-15.839701,50,8.605561
-19.899637,50,9.224341
-10.951191,50,9.364624
-15.361369,50,9.631479
-17.767108,50,10.009501
-14.670511,50,10.3844
-14.187681,50,11.128782
-13.665222,50,12.059541
-12.364923,50,12.19638
-12.533615,50,12.583238
-13.005067,50,12.962051
-18.96446,50,13.692794
-10.665263,50,13.943591
-12.963024,50,14.325604
-9.331587,50,14.942688
-12.286317,50,15.322495
-12.738503,50,15.706162
-13.319113,50,17.086111
-12.195355,50,17.584057
-11.787395,50,17.838355
-15.665056,50,18.454993
-12.404599,50,18.823596
-12.708613,50,19.197541
-14.65397,50,19.574841
-13.002607,50,19.948684
-13.148408,50,20.443215
-9.425052,50,20.823577
-15.715087,50,22.682532
-12.771202,50,22.818566
-12.071765,50,22.955127
-10.135402,50,23.089937
-13.465041,50,23.460334
-10.355582,50,23.591356
-13.771234,50,24.330758
-7.897133,50,24.707935
-13.678253,50,24.960675
-9.654673,50,25.338553
-10.728251,50,26.084556
-12.629199,50,27.731348
-11.595229,50,27.868698
-8.490702,50,28.247106
-10.052428,50,28.374599
-10.53851,50,28.506089
-13.291386,50,28.642519
-9.834615,50,28.776394
-15.241218,50,29.153199
-11.238889,50,29.533212
-13.300161,50,29.668326
-13.34469,50,32.739206
-13.664004,50,33.234483
-10.218098,50,33.368484
-8.473026,50,33.499503
-11.947197,50,33.871608
-12.66245,50,34.248352
-15.67013,50,34.383908
-13.636097,50,34.520819
-14.515198,50,34.777556
-11.374295,50,35.156214
-13.820908,50,38.09577
-9.534728,50,38.473193
-11.568053,50,39.088546
-10.760034,50,39.339792
-15.418745,50,39.471024
-16.323554,50,39.603468
-7.62488,50,39.743788
-9.905609,50,39.880674
-10.519167,50,40.621213
-15.446694,50,41.238097
-6.358261,50,44.067978
-13.336836,50,44.202516
-4.376159,50,44.337782
-8.266321,50,44.474401
-9.18518,50,44.606686
-14.107138,50,44.737178
-19.935011,50,44.872725
-11.374931,50,45.006591
-9.643554,50,45.138766
-9.453184,50,45.276733
-11.149381,50,45.409951
-10.494266,50,48.71999
-6.551841,50,49.582106
-14.515468,50,49.832324
-12.344155,50,50.205671
-12.419984,50,50.577347
-11.179246,50,50.954579
-10.372952,50,51.450826
-13.191104,50,52.42904
-10.670988,50,52.80707
-15.391137,50,53.179973
-12.750266,50,54.941878
-6.050507,50,55.078875
-11.501446,50,55.210271
-11.277702,50,55.342082
-12.977665,50,55.476431
-11.724608,50,55.851629
-9.856258,50,56.111355
-11.559067,50,56.250078
-13.504853,50,56.388827
-13.80056,50,56.523756
-11.777324,50,60.078495
-13.473971,50,60.461632
-9.411648,50,60.596219
-12.409502,50,60.7311
-10.928275,50,60.86215
-10.529517,50,61.237649
-8.697258,50,61.611406
-14.082737,50,61.867716
-13.293452,50,62.242914
-18.580685,50,62.981875
-10.197782,50,65.575871
-8.661764,50,65.83185
-7.691978,50,65.96271
-13.700311,50,66.092777
-10.344673,50,66.224154
-14.334629,50,66.358805
-9.742726,50,66.49547
-10.050194,50,66.631283
-12.391162,50,66.767124
-12.380967,50,66.903149
-11.16062,50,67.27746
-11.848607,50,70.487931
-9.974392,50,70.858815
-4.244313,50,71.353682
-12.521614,50,71.48297
-15.291379,50,71.73722
-6.03596,50,71.870541
-10.320704,50,72.005912
-12.885568,50,72.14711
-7.143957,50,72.28501
-6.639463,50,72.419186
-13.842219,50,74.161292
-12.606281,50,74.415339
-7.019538,50,74.785326
-11.057829,50,75.163835
-8.311687,50,75.790235
-14.75789,50,76.05826
-9.174427,50,76.197021
-10.9938,50,76.333932
-8.004547,50,76.592151
-10.317249,50,76.968518
-9.830012,50,78.058695
-7.850685,50,78.191412
-12.453526,50,78.320483
-11.793806,50,78.691083
-11.217752,50,79.306077
-9.348246,50,79.682948
-10.45749,50,80.419923
-5.564052,50,81.156669
-1.983388,50,81.291323
-11.230962,50,81.664726
-13.530912,50,84.03147
-4.03859,50,84.399335
-9.899075,50,84.770622
-8.035669,50,85.146405
-6.789057,50,86.003232
-6.984476,50,86.740254
-9.09508,50,87.117005
-9.473387,50,87.380722
-9.664403,50,87.757214
-6.12462,50,88.013543
-5.20429,50,88.154956
-10.580053,50,88.9262
-11.920201,50,89.056741
-12.019446,50,89.188676
-11.132699,50,89.329453
-3.817377,50,89.466839
-10.836374,50,89.724961
-12.499234,50,90.706151
-11.158977,50,91.200526
-7.504618,50,91.575881
-6.521235,50,91.95622
-10.059039,50,94.406693
-9.603594,50,94.776288
-10.976512,50,95.029102
-8.62088,50,95.406349
-11.173623,50,95.785461
-8.748698,50,96.402092
-11.288187,50,96.786108
-5.97005,50,97.170505
-8.748333,50,97.915695
-3.0773,50,98.429298
-13.148575,50,99.460164
-3.995511,50,99.590381
-8.34399,50,99.720052
-10.907151,50,99.857543
-9.675415,50,100.234699
-5.107655,50,100.369991
-13.838033,50,100.504238
-12.173584,50,100.884623
-9.717344,50,101.263712
-9.518597,50,101.644538
-5.683882,50,104.355171
-8.825568,50,104.484024
-13.127456,50,104.61497
-10.446717,50,104.75328
-14.585358,50,104.890965
-4.157165,50,105.030189
-9.408856,50,105.167595
-9.86965,50,105.302875
-6.766779,50,105.436131
-7.990246,50,105.937513
-7.378348,50,106.675401
-4.882528,50,109.751102
-12.730045,50,110.009287
-7.830057,50,110.149319
-10.703083,50,110.284277
-13.029126,50,110.420543
-4.851111,50,110.678394
-11.424937,50,111.05553
-5.004292,50,111.188824
-1.794552,50,111.324968
-9.224926,50,111.465537
-12.785236,50,114.528824
-10.129853,50,114.661136
-8.700776,50,114.798158
-11.711711,50,115.412561
-14.747998,50,115.789665
-7.155058,50,115.924422
-12.626835,50,116.056169
-7.130735,50,116.186391
-12.770411,50,116.332077
-8.740617,50,116.474546
-6.587463,50,117.969951
-7.240766,50,118.341333
-10.933562,50,118.596786
-4.653528,50,118.976782
-9.621264,50,119.713779
-8.879379,50,120.096672
-1.093212,50,120.353862
-5.282431,50,120.492265
-6.154616,50,120.632771
-10.191699,50,120.776315
-4.791699,50,122.350198
-7.450749,50,122.485425
-9.97029,50,122.864491
-12.077895,50,123.482759
-11.550225,50,123.856294
-5.359577,50,124.232824
-13.001637,50,124.602614
-2.619481,50,124.857453
-5.92397,50,125.359425
-2.664447,50,125.74297
-6.796277,50,126.124082
-8.327535,50,127.873731
-11.534684,50,128.009745
-3.619432,50,128.995542
-11.924548,50,129.373398
-11.048547,50,130.112649
-10.211105,50,130.846611
-16.928295,50,131.103839
-10.305821,50,131.489863
-4.394076,50,131.873545
-6.133589,50,132.015587
-5.724527,50,133.022436
-9.382921,50,133.158447
-4.426254,50,133.295774
-5.359976,50,133.675514
-14.127931,50,134.416416
-4.489005,50,134.785088
-5.820756,50,135.162178
-4.260135,50,135.542695
-10.414877,50,136.043728
-5.662129,50,136.42729
-8.874842,50,138.156291
-5.912815,50,138.29555
-10.716509,50,138.433399
-9.065781,50,138.570676
-13.762878,50,138.705775
-6.607595,50,138.837598
-6.128966,50,138.976642
-3.240384,50,139.602421
-6.667343,50,139.983562
-5.784758,50,140.72721
-7.481418,50,142.709399
-10.760426,50,142.846875
-14.377138,50,142.984472
-5.509004,50,143.117447
-9.707597,50,143.249105
-9.608111,50,143.378665
-5.420112,50,143.515385
-2.309665,50,143.657526
-6.97174,50,144.041932
-9.757189,50,144.427031
-3.484298,50,146.63755
-3.673644,50,147.016593
-0.99226,50,147.39501
-9.52998,50,147.778485
-10.647793,50,147.916796
-6.827044,50,148.047268
-3.766852,50,148.187845
-5.361828,50,148.331492
-7.046514,50,148.473783
-5.570588,50,148.613883
-8.683416,50,148.750589
-11.338873,50,149.996218
-8.281425,50,150.258552
-2.568909,50,150.396216
-6.726879,50,150.52932
-6.403307,50,150.662696
-8.131902,50,150.92266
-8.28787,50,151.18457
-15.507862,50,151.564987
-7.99903,50,151.946659
-4.00494,50,152.559266
-3.351542,50,154.312435
-8.452072,50,154.687416
-8.260791,50,155.063207
-4.399997,50,155.196972
-2.64246,50,155.567553
-6.068755,50,155.704194
-10.181873,50,156.087481
-5.028625,50,156.833048
-10.861317,50,156.975033
-3.698666,50,157.117551
-3.562303,50,159.43217
-5.263123,50,159.808835
-8.96949,50,160.069894
-2.816148,50,160.202653
-0.467877,50,160.453914
-5.454203,50,160.59466
-8.846457,50,160.977479
-7.695517,50,161.1177
-2.30098,50,161.25904
-7.686956,50,161.396902
-5.987665,50,164.104546
-2.425039,50,164.482207
-8.11561,50,165.107918
-10.985699,50,165.488404
-4.435023,50,165.625862
-4.66622,50,166.009885
-5.310343,50,166.26972
-5.524136,50,166.410849
-9.250485,50,166.791642
-0.330558,50,167.044247
-3.11588,50,167.78167
-6.321301,50,170.365395
-1.759577,50,170.750709
-3.265735,50,170.891478
-6.154257,50,171.022461
-6.025283,50,171.400356
-6.239828,50,171.537979
1.398717,50,171.678904
-6.305298,50,171.821029
-10.483823,50,171.959495
-5.812358,50,172.097549
-9.165785,50,174.070106
-3.736806,50,174.447134
-3.989116,50,174.818842
-1.180733,50,174.950759
-5.279503,50,175.927363
-10.143727,50,176.308375
3.741448,50,176.694792
-3.381149,50,176.957354
-6.677995,50,177.092322
-1.203727,50,177.229552
-0.405921,50,179.446446
-8.341748,50,180.192431
-3.111718,50,180.575654
-3.8174,50,180.947341
-6.464433,50,181.326871
1.965732,50,181.582529
-9.893706,50,182.087021
-1.806487,50,182.346406
-0.850323,50,182.601965
-6.838502,50,182.734192
-5.778639,50,185.442476
-7.870337,50,185.705526
-1.465588,50,186.323325
0.80875,50,186.704248
0.564321,50,187.08157
-4.130032,50,187.459505
-4.659088,50,187.599943
-1.65257,50,187.979871
-7.062614,50,188.233735
-3.557623,50,188.489988
1.208583,50,188.865533
2.237837,50,190.833871
-0.048373,50,191.210157
-2.967484,50,191.705174
-6.901988,50,191.840418
-2.21537,50,192.216161
-0.259172,50,192.601516
2.346534,50,192.982281
-1.776814,50,193.356992
-1.518689,50,193.493989
-4.647439,50,193.626389
2.902348,50,195.116409
-5.88588,50,195.370783
-2.733508,50,196.355863
0.804022,50,197.105263
-3.659179,50,197.482592
-6.047259,50,197.860979
-2.379779,50,198.002702
-10.511171,50,198.379189
-4.095331,50,198.51392
-5.660108,50,198.648593
-0.474887,50,200.265662
-5.689079,50,201.723454
1.31829,50,201.977563
-5.97977,50,202.233556
-2.968041,50,202.973536
-1.109589,50,203.356314
-1.438978,50,203.612113
1.365011,50,203.748529
0.616031,50,203.881978
