#{"t_start": 1707495229.4747458, "env_id": "None"}
r,l,t
-14.973214,50,3.851072
-20.990015,50,3.949323
-12.270466,50,4.048546
-18.215317,50,4.149638
-14.775612,50,4.242651
-13.574626,50,4.792891
-15.479623,50,4.88793
-13.051494,50,4.986165
-15.121283,50,5.083564
-16.84724,50,5.420462
-11.959018,50,10.908145
-18.231276,50,11.701785
-15.725209,50,12.160966
-17.713812,50,12.72199
-15.333463,50,13.280109
-12.917756,50,14.064489
-15.976656,50,14.387398
-12.917017,50,14.482996
-17.273556,50,15.275871
-10.807209,50,15.609103
-13.138748,50,18.774477
-14.563908,50,19.232767
-14.272002,50,20.262004
-14.682027,50,20.36218
-14.62889,50,20.693548
-14.404014,50,20.786061
-10.584545,50,20.995812
-14.642939,50,21.443579
-16.353247,50,21.540629
-14.143014,50,21.870311
-14.122972,50,23.291154
-10.060712,50,23.851753
-9.602031,50,23.949287
-17.450154,50,24.289207
-11.365316,50,25.082629
-12.827941,50,25.404596
-17.502865,50,25.495084
-18.286465,50,25.70811
-14.068704,50,26.500911
-14.677551,50,27.656301
-12.537877,50,31.219166
-13.232053,50,31.559897
-15.863125,50,31.783564
-16.681347,50,32.711513
-10.916761,50,32.935575
-15.915197,50,33.524204
-11.742277,50,33.733058
-14.062185,50,34.304619
-13.182131,50,34.521969
-12.133633,50,35.104924
-11.403504,50,35.329149
-10.566819,50,37.086959
-9.849235,50,37.186545
-9.086472,50,37.284332
-11.01752,50,37.382734
-13.823884,50,37.481116
-13.402147,50,37.575101
-12.946981,50,37.66671
-13.864842,50,37.766865
-15.298675,50,37.865632
-14.509614,50,37.965409
-12.939615,50,38.844691
-9.265722,50,39.074349
-11.871762,50,39.796109
-15.942311,50,40.513093
-10.83599,50,40.629253
-14.290062,50,41.222614
-11.86189,50,41.578225
-13.096821,50,41.817874
-12.328771,50,42.782088
-11.405561,50,42.907906
-11.514876,50,44.120198
-9.87612,50,44.341439
-10.293216,50,44.924717
-13.823338,50,45.16602
-11.467635,50,45.533749
-10.860065,50,46.501164
-15.025051,50,46.868773
-14.124221,50,47.116207
-11.81173,50,47.236118
-8.290981,50,47.353621
-10.800282,50,48.024413
-16.865212,50,48.381854
-15.690637,50,48.497539
-11.971289,50,48.614939
-13.195943,50,48.860729
-11.637792,50,49.10687
-12.187608,50,49.22739
-17.43858,50,49.351238
-12.838142,50,49.473585
-12.563717,50,50.437347
-16.066673,50,51.038403
-9.852763,50,53.497749
-15.757639,50,53.618841
-13.235631,50,53.737754
-11.965263,50,53.978596
-14.056745,50,54.108376
-7.851691,50,54.477136
-11.335571,50,54.721376
-11.856886,50,54.846384
-13.825748,50,54.964893
-8.073796,50,55.327775
-11.244403,50,57.240209
-13.159315,50,57.479683
-10.077729,50,57.722235
-13.515432,50,57.96239
-13.775719,50,58.089604
-11.740599,50,58.340349
-11.035167,50,58.468981
-13.725854,50,58.834994
-14.778612,50,58.958675
-10.506268,50,59.081087
-7.514858,50,59.755926
-7.730095,50,59.887249
-11.326271,50,60.259013
-7.979312,50,60.396422
-5.832918,50,61.017409
-7.599898,50,61.400902
-12.703018,50,61.653885
-12.979892,50,62.026491
-15.380955,50,62.389383
-12.063735,50,63.112202
-10.80674,50,64.986889
-14.261657,50,65.116116
-13.359097,50,65.489127
-10.324426,50,65.865919
-12.264594,50,66.609875
-14.229745,50,66.749876
-11.721494,50,67.496248
-12.657122,50,67.876691
-12.951867,50,68.246393
-9.73905,50,68.500473
-12.180618,50,69.23616
-14.803559,50,70.243104
