#{"t_start": 1707495300.264392, "env_id": "None"}
r,l,t
-15.705727,50,3.119218
-15.499194,50,3.755531
-14.436301,50,4.148009
-17.031049,50,4.303308
-14.172792,50,4.462627
-15.155913,50,4.624317
-21.866875,50,4.781574
-16.326796,50,5.183578
-17.541581,50,5.345748
-17.286345,50,5.742736
-16.702163,50,10.374187
-19.112216,50,10.542886
-12.006816,50,10.704829
-13.527847,50,10.86802
-15.880135,50,11.029853
-16.893151,50,11.187738
-14.92232,50,11.812708
-21.749467,50,12.213514
-10.169559,50,12.866001
-15.221961,50,13.272696
-12.200341,50,16.475985
-14.142958,50,16.761923
-13.396762,50,16.920655
-13.734146,50,17.079837
-13.365079,50,17.724988
-13.368549,50,18.001232
-14.239409,50,18.638443
-13.155991,50,19.377164
-13.446969,50,19.77802
-13.84838,50,20.182276
-14.329565,50,22.535969
-13.551968,50,22.696343
-19.185083,50,22.85604
-13.870595,50,23.484854
-14.666397,50,24.367493
-14.773052,50,25.492982
-13.931241,50,26.139223
-12.327065,50,26.665481
-11.971547,50,27.079936
-14.708657,50,27.615547
-12.027854,50,28.997489
-12.159711,50,29.394989
-14.412847,50,30.159396
-17.465134,50,30.439346
-16.181347,50,30.838189
-17.017243,50,31.235241
-6.637292,50,31.627896
-16.232837,50,32.027774
-13.564447,50,32.921939
-12.90891,50,33.324626
-12.331167,50,33.489049
-12.894654,50,36.298123
-11.620949,50,36.699517
-12.516396,50,37.10546
-14.882937,50,37.494187
-15.012068,50,37.894524
-16.09544,50,38.165516
-13.841915,50,38.319221
-10.042841,50,38.476941
-11.219665,50,38.642071
-9.160576,50,39.045264
-10.404417,50,40.291628
-11.59976,50,41.054449
-14.021444,50,41.457707
-12.705711,50,41.860338
-9.909944,50,42.261428
-15.828556,50,42.791919
-13.470185,50,43.320608
-11.540905,50,43.487489
-16.92395,50,43.652061
-9.894948,50,43.813171
-12.903745,50,44.69722
-13.349289,50,45.100978
-13.012633,50,45.260899
-16.342706,50,45.41959
-11.579011,50,45.574063
-10.559146,50,45.971732
-14.37847,50,46.73031
-17.461788,50,47.369718
-15.092248,50,48.132303
-12.283153,50,48.53148
-15.828505,50,50.272153
-10.134851,50,50.432776
-13.451904,50,50.59336
-12.411993,50,50.87439
-18.98984,50,51.270078
-13.155768,50,51.667737
-11.017635,50,52.064105
-15.564167,50,52.461435
-9.096353,50,52.861862
-12.377849,50,53.631964
-11.713131,50,54.395147
-15.025559,50,55.819473
-12.448404,50,56.220569
-13.293257,50,56.382167
-9.713127,50,56.536607
-9.148136,50,56.812671
-13.670848,50,57.209505
-14.507982,50,58.45093
-11.859261,50,58.851457
-10.059729,50,59.247948
-15.295838,50,59.764368
-10.76383,50,61.620479
-13.629448,50,61.780723
-11.569308,50,61.939326
-9.547234,50,62.094613
-13.264679,50,62.491716
-17.213825,50,62.887677
-12.665324,50,63.642832
-13.650534,50,64.04556
-12.293525,50,64.682419
-16.740353,50,65.323648
-14.28121,50,67.087479
-14.02753,50,67.487834
-13.668199,50,67.767235
-8.094705,50,68.159126
-16.500857,50,68.795028
-13.057577,50,69.194501
-11.440407,50,69.589154
-10.81424,50,69.989196
-13.846267,50,70.754517
-8.804428,50,70.924255
-15.794582,50,72.089623
-13.490914,50,72.249291
-9.710096,50,72.646955
-13.379961,50,73.03986
-15.244135,50,73.79691
-12.629266,50,74.315484
-13.130376,50,74.832692
-11.694327,50,75.230021
-7.774574,50,75.867213
-13.437266,50,76.742739
-15.392329,50,77.031
-18.215309,50,79.008494
-11.006491,50,79.410843
-14.492702,50,79.800883
-11.563366,50,80.19891
-10.70344,50,80.957945
-8.93464,50,81.35543
-12.26967,50,82.35543
-11.285738,50,82.76169
-11.543571,50,83.409335
-7.514832,50,83.690016
-9.590595,50,85.898243
-13.783093,50,86.29828
-12.415708,50,87.063901
-6.639323,50,87.349891
-11.588211,50,87.507277
-10.842702,50,87.662095
-13.08584,50,87.817507
-9.515251,50,88.215352
-7.880056,50,88.615026
-10.86732,50,88.774711
-11.36622,50,91.341301
-14.877688,50,91.849816
-10.220942,50,92.121824
-13.2036,50,92.756308
-14.750192,50,93.756712
-10.916924,50,94.161488
-12.702773,50,94.319218
-10.071874,50,94.472886
-10.9605,50,94.63471
-12.337718,50,94.915031
-12.43127,50,98.075269
-13.226753,50,98.488419
-11.80347,50,98.646546
-4.955497,50,99.043328
-10.87052,50,99.199543
-14.497618,50,99.354048
-16.616044,50,99.509445
-9.159828,50,99.661385
-15.312999,50,99.819406
-12.094879,50,99.983145
-8.142557,50,100.143601
-11.343524,50,101.752303
-10.765748,50,102.387779
-8.404987,50,102.783117
-8.967094,50,103.543163
-12.768898,50,103.940154
-7.445254,50,104.337902
-12.403661,50,104.490686
-5.602868,50,104.649392
-8.477193,50,104.811668
-12.34292,50,104.971242
-10.931886,50,107.782631
-9.883129,50,108.182
-8.472801,50,109.055932
-13.671047,50,109.933582
-11.940458,50,110.210173
-12.389682,50,110.606087
-11.294258,50,110.998606
-8.629915,50,111.153471
-12.924248,50,111.674078
-11.119216,50,112.077603
-14.652096,50,114.75966
-10.623526,50,115.526631
-12.484475,50,115.692657
-10.786624,50,116.091611
-8.44682,50,116.247027
-9.986603,50,116.401417
-9.920623,50,116.673843
-11.623934,50,117.189912
-12.395456,50,117.70945
-11.830462,50,118.227709
-13.216111,50,120.79052
-12.041967,50,120.944275
-14.568573,50,121.099001
-8.702056,50,121.255135
-8.021863,50,121.41098
-13.192568,50,121.807113
-10.823049,50,122.079271
-11.534457,50,122.231063
-10.581613,50,122.390399
-11.232212,50,122.793615
-13.060634,50,123.557318
-13.332489,50,126.13387
-11.094871,50,126.287909
-11.624486,50,126.442162
-9.03837,50,126.836504
-11.150902,50,126.988136
-8.870448,50,127.141737
-11.236316,50,127.292955
-10.294259,50,127.450893
-11.071809,50,127.610678
-10.242468,50,127.772682
-12.233787,50,131.187784
-15.539815,50,131.831286
-10.253887,50,132.237851
-15.7068,50,132.400953
-17.646756,50,132.797891
-17.62487,50,132.953876
-9.357942,50,133.10441
-12.97767,50,133.500529
-9.70551,50,133.66097
-15.339627,50,134.05927
-10.442432,50,137.723175
-10.73661,50,137.886023
-10.167884,50,138.285947
-10.46721,50,138.44142
-6.096907,50,138.836702
-12.442147,50,139.229952
