#{"t_start": 1707423603.0165143, "env_id": "None"}
r,l,t
-21.288289,50,4.600938
-17.767798,50,4.698005
-23.516837,50,4.792382
-15.065807,50,4.890502
-19.187225,50,4.987561
-18.071351,50,5.085529
-17.236783,50,5.184981
-19.708608,50,5.39822
-12.967254,50,5.607093
-19.166389,50,5.817611
-11.074837,50,10.11165
-12.133532,50,10.200437
-20.153619,50,10.290229
-18.592941,50,10.389452
-16.362815,50,10.487232
-22.178658,50,10.587841
-21.439739,50,10.681013
-16.470486,50,10.770852
-20.682068,50,10.859648
-18.573583,50,10.94969
-20.15234,50,12.498646
-19.936857,50,13.675608
-10.647834,50,14.860609
-16.549065,50,15.21006
-15.028679,50,15.316188
-20.134044,50,15.421585
-17.215627,50,15.511039
-19.037724,50,15.599599
-16.475765,50,15.688092
-17.271722,50,15.777824
-18.136859,50,16.485703
-14.513957,50,16.573222
-14.703681,50,16.781725
-17.905365,50,16.999648
-16.297176,50,17.217778
-12.662701,50,17.555446
-14.167936,50,17.77089
-13.809847,50,18.321061
-18.885469,50,18.870387
-18.460375,50,18.958495
-14.487481,50,21.134641
-8.845788,50,21.460331
-15.439247,50,22.012809
-14.115839,50,22.112163
-14.346413,50,22.451149
-16.180653,50,22.670359
-15.640017,50,22.887871
-12.321893,50,23.099989
-17.98604,50,23.429277
-15.300494,50,23.891146
-15.12474,50,24.244226
-12.197791,50,26.517011
-12.29946,50,26.629492
-13.097434,50,26.747213
-15.048919,50,26.863291
-14.112619,50,26.963895
-12.272419,50,27.052555
-13.749914,50,27.138657
-14.919068,50,27.225662
-10.698382,50,27.674882
-13.887891,50,27.764291
-17.706566,50,30.243444
-13.035008,50,30.360343
-11.785095,50,31.800521
-15.528652,50,31.91788
-14.295827,50,32.277868
-14.212708,50,32.387732
-16.525243,50,32.496138
-16.172438,50,32.605544
-13.709047,50,32.715161
-14.664635,50,32.825539
-21.784603,50,34.961874
-12.800142,50,35.208231
-12.401463,50,35.446061
-15.674363,50,35.803969
-15.855338,50,36.039929
-13.882178,50,36.844262
-15.281112,50,37.650884
-13.461592,50,37.765492
-15.345531,50,37.877029
-15.989863,50,37.987285
-11.687694,50,39.983865
-13.235995,50,40.572457
-13.288937,50,40.921945
-14.539694,50,41.733586
-13.218511,50,42.084836
-13.715459,50,42.658487
-12.927441,50,43.228696
-11.692837,50,43.567531
-13.055318,50,43.67755
-13.593361,50,44.01889
-16.29534,50,44.822204
-12.661605,50,48.197474
-14.999463,50,48.815499
-16.181909,50,49.071142
-12.15713,50,49.200475
-9.389562,50,49.57319
-13.344996,50,49.819941
-13.59321,50,49.947656
-12.054182,50,50.309393
-12.362184,50,50.668102
-13.774544,50,50.909735
-9.380486,50,53.387763
-14.850145,50,53.530329
-14.357925,50,53.909998
-13.605479,50,54.286834
-12.10606,50,54.658312
-16.350694,50,54.786654
-11.012368,50,54.916704
-16.903864,50,55.050114
-10.580561,50,55.412323
-14.07792,50,56.145655
-15.213005,50,59.585397
-12.637722,50,59.970629
-11.702064,50,60.108947
-16.331245,50,60.478363
-10.805494,50,60.844851
-12.503332,50,60.972286
-11.367161,50,61.331517
-13.617634,50,62.15308
-15.042079,50,63.668917
-10.612686,50,64.260377
-14.738087,50,67.608566
-9.972696,50,67.982508
-14.538308,50,68.353778
-8.859912,50,69.188118
-9.706217,50,70.247158
-12.344681,50,70.385764
-14.394855,50,70.744959
-8.727888,50,71.102902
-7.905725,50,71.462552
-8.339083,50,71.823428
-13.24024,50,71.952492
-11.21543,50,75.991431
-11.562485,50,76.825066
-12.031206,50,77.194765
-14.653311,50,78.024769
-13.29849,50,78.397487
-12.881372,50,78.649596
-12.979075,50,79.616765
-11.467891,50,79.98478
-12.990142,50,80.351732
-13.112916,50,80.60428
-14.005517,50,82.911897
-10.645022,50,83.31072
-10.624579,50,84.189344
-11.149515,50,84.702795
-11.19017,50,85.096999
-11.771965,50,85.485759
-13.254467,50,86.236731
-12.977988,50,86.974929
-14.150476,50,87.101701
-12.560776,50,87.229213
-15.373688,50,89.190229
-10.992457,50,90.79065
-13.220887,50,91.79415
-14.290999,50,92.321774
-14.428513,50,92.476679
-9.850806,50,92.629984
-10.230393,50,92.779706
-13.20533,50,92.928796
-8.173983,50,93.316257
-13.581675,50,93.704516
-9.206568,50,96.505037
-12.057837,50,97.026087
-11.45,50,97.42335
-9.684046,50,97.825361
-7.437967,50,98.102523
-11.794485,50,98.254437
-14.537276,50,98.645528
-13.193704,50,99.032896
-15.707767,50,99.418894
-10.538489,50,99.807548
-11.668114,50,100.683949
-16.486722,50,102.52583
-14.782014,50,102.922356
-13.553187,50,103.322784
-11.068482,50,103.602228
-13.184472,50,103.75561
-5.314568,50,104.147283
-9.159729,50,104.657842
-15.015115,50,104.925793
-8.452153,50,105.314448
-13.181487,50,105.706374
-14.840281,50,108.050395
-11.927588,50,108.209425
-12.690089,50,108.367963
-12.998062,50,108.527386
-8.320844,50,108.920612
-12.868081,50,109.31488
-9.547504,50,109.703021
-12.233223,50,110.092019
-13.209906,50,110.240993
-12.193727,50,110.632118
-15.242453,50,114.514001
-12.480157,50,114.674517
-11.551212,50,115.075876
-13.517682,50,115.476366
-15.762467,50,115.87159
-15.770848,50,116.266802
-10.443194,50,116.656736
-8.831017,50,117.652644
-11.518221,50,117.930881
-10.880013,50,118.079293
-9.386087,50,118.950502
-7.088183,50,119.114464
-9.032258,50,119.270751
-15.499631,50,119.428311
-7.511471,50,119.827889
-13.177629,50,119.983018
-10.291577,50,120.13693
-8.199144,50,120.286735
-10.964725,50,120.436259
-12.31338,50,120.825306
-12.213767,50,121.942087
-14.535227,50,125.092651
-15.141941,50,125.487402
-9.638438,50,125.881171
-12.512209,50,126.279382
-11.111804,50,126.674786
-10.036117,50,127.066476
-12.977599,50,127.458547
-10.355732,50,128.210995
-11.725911,50,128.961946
-14.412169,50,129.714162
-8.47516,50,131.063778
-11.83297,50,131.22302
-7.217952,50,131.61822
-8.278246,50,132.016922
-11.484475,50,132.414952
-11.856788,50,132.807214
-7.254461,50,134.048551
-10.397351,50,134.445753
-7.213626,50,134.954947
-8.886022,50,135.348121
-10.681509,50,137.059797
-12.140681,50,137.461641
-10.965513,50,137.859023
-11.174878,50,138.256749
-9.327648,50,138.658541
-9.194545,50,139.061296
-12.288376,50,139.461675
-11.080762,50,139.848345
