#{"t_start": 1707495212.4319656, "env_id": "None"}
r,l,t
-14.815195,50,5.076828
-17.987713,50,5.154786
-14.056942,50,5.22764
-20.534232,50,5.302187
-15.167961,50,5.37527
-15.50374,50,5.449219
-17.493442,50,5.523808
-19.84421,50,5.59849
-20.879024,50,5.672207
-20.909295,50,5.745889
-20.454241,50,10.056993
-23.844194,50,10.133691
-20.816601,50,10.208933
-19.986571,50,10.285342
-15.539399,50,10.368326
-19.977691,50,10.452382
-17.769409,50,10.534349
-19.903961,50,10.849946
-17.861921,50,10.92518
-13.6576,50,10.996507
-15.471691,50,13.883568
-16.420279,50,14.196859
-17.834004,50,14.274443
-19.176482,50,14.958422
-16.777188,50,15.042206
-15.285166,50,15.365809
-13.635869,50,15.450077
-18.905419,50,15.886173
-13.535692,50,16.203051
-16.809974,50,16.398508
-16.729084,50,17.637467
-14.67068,50,18.316757
-16.143804,50,18.393287
-21.343081,50,18.595733
-20.257568,50,19.398555
-14.220907,50,19.721347
-19.551845,50,19.924511
-13.823634,50,20.119816
-22.438601,50,20.315123
-17.744398,50,20.509903
-15.392369,50,21.202889
-15.481721,50,21.296551
-13.784442,50,21.846038
-14.50696,50,21.943443
-12.120773,50,22.041271
-14.921551,50,22.136964
-17.864431,50,22.473715
-13.220519,50,22.920643
-17.783823,50,23.237415
-15.404692,50,23.309776
-16.728739,50,23.613586
-13.764042,50,26.014437
-17.099643,50,26.803113
-19.61283,50,27.598074
-12.680088,50,27.942514
-9.879344,50,28.732343
-16.548235,50,29.18964
-19.352911,50,29.750579
-14.111739,50,30.30789
-13.96665,50,31.089409
-14.069842,50,31.41056
-14.837478,50,34.075609
-11.089783,50,34.635834
-10.443113,50,34.852978
-12.436264,50,35.780057
-13.259201,50,35.874945
-9.011057,50,37.027292
-7.276331,50,37.356812
-13.891203,50,37.454852
-11.347582,50,37.776874
-7.981261,50,37.985893
-12.774595,50,39.679575
-16.067794,50,39.77677
-11.557267,50,39.993327
-12.156837,50,40.326913
-15.418632,50,40.887193
-13.038212,50,40.980342
-19.555705,50,41.317911
