#{"t_start": 1707495286.4108644, "env_id": "None"}
r,l,t
-20.549268,50,2.290973
-19.883335,50,2.429762
-21.269388,50,2.567834
-12.074453,50,2.704734
-19.343077,50,2.838176
-17.749225,50,3.207999
-24.257049,50,3.341391
-17.470365,50,3.477984
-14.196937,50,4.09576
-12.800347,50,4.478568
-21.371738,50,8.146226
-17.694041,50,8.523656
-15.217881,50,8.909916
-14.567747,50,9.415039
-12.199224,50,9.798656
-12.426034,50,10.542588
-10.39481,50,10.802283
-15.746577,50,11.291642
-16.68891,50,11.546039
-18.412391,50,12.162804
-14.631137,50,13.268409
-15.016178,50,13.399447
-20.971171,50,13.534086
-14.701937,50,13.673147
-20.729944,50,13.814677
-16.030711,50,13.95502
-18.93022,50,14.095132
-15.094139,50,14.23115
-16.681895,50,14.606043
-15.64411,50,14.978534
-12.404441,50,17.07351
-15.221556,50,17.824056
-12.426255,50,18.100127
-14.277669,50,18.253431
-19.092841,50,18.411405
-13.107795,50,18.570395
-19.615758,50,18.970066
-15.541136,50,19.128428
-12.602183,50,19.403383
-12.240164,50,19.792185
-16.296607,50,22.752128
-18.766315,50,23.156034
-13.810865,50,23.56088
-18.562384,50,23.965641
-12.09713,50,24.248766
-15.020278,50,24.410684
-17.850671,50,24.56977
-12.141036,50,24.730453
-10.831007,50,24.890414
-16.837127,50,25.046362
-12.36008,50,25.66865
-12.424732,50,28.717315
-14.35159,50,29.493515
-14.448944,50,29.898007
-16.09155,50,30.302394
-13.81026,50,30.588149
-13.030912,50,30.746445
-18.043582,50,30.905892
-14.877022,50,31.309131
-18.237861,50,31.704479
-13.824937,50,32.458723
-14.004582,50,35.225592
-10.371274,50,35.624005
-13.990727,50,36.145371
-12.399649,50,36.303913
-10.751739,50,36.464641
-9.998841,50,36.620513
-17.774124,50,36.780514
-11.117271,50,37.402614
-13.411971,50,38.398591
-12.960136,50,39.399362
-14.610868,50,41.707044
-10.701285,50,41.863967
-16.006246,50,42.261873
-12.420357,50,42.660698
-15.234014,50,42.8237
-9.850289,50,43.222969
-10.887946,50,43.9809
-18.865281,50,44.260731
-13.40411,50,44.65993
-12.363963,50,45.054748
-15.071633,50,47.358635
-12.737897,50,47.755356
-15.575621,50,48.034323
-14.183653,50,48.432695
-10.680962,50,49.195374
-14.754948,50,49.963941
-13.396635,50,50.361888
-13.56161,50,50.766177
-11.47405,50,51.275732
-14.907189,50,51.548773
-11.190279,50,51.94345
-10.47298,50,53.005706
-13.415125,50,53.170051
-14.097767,50,53.328447
-12.195465,50,53.725601
-12.602375,50,53.887369
-9.95636,50,54.286549
-8.894758,50,54.925183
-14.138059,50,55.325581
-12.295483,50,55.72499
-9.912028,50,56.245145
-7.275669,50,57.751503
-12.996397,50,57.911556
