#{"t_start": 1707456389.701312, "env_id": "None"}
r,l,t
-15.027561,50,3.534456
-11.72396,50,3.905412
-14.593339,50,4.149416
-15.066424,50,4.519716
-9.819046,50,4.75276
-10.856067,50,5.106357
-12.744304,50,5.340894
-11.019616,50,5.466608
-10.341307,50,5.589783
-17.17161,50,5.712183
-15.601212,50,8.441664
-16.580572,50,8.681988
-18.132062,50,9.402914
-10.096462,50,10.001346
-10.004709,50,10.726566
-12.354428,50,11.087486
-14.070429,50,11.209291
-15.012678,50,12.491671
-10.556253,50,12.858936
-13.553856,50,12.980572
-12.739349,50,15.825312
-13.268811,50,15.943483
-10.286514,50,16.305121
-8.439358,50,16.670747
-9.542063,50,17.031231
-10.98875,50,17.394686
-12.587918,50,17.515343
-12.764602,50,17.63627
-13.622113,50,18.239733
-17.136449,50,18.610092
-14.90063,50,20.996496
-15.983939,50,21.237869
-16.576792,50,21.600569
-14.595175,50,21.841596
-13.519392,50,21.960894
-13.385982,50,22.19975
-10.729666,50,22.555662
-11.633414,50,22.794401
-12.748125,50,23.158652
-16.364222,50,23.5194
-10.556462,50,26.149684
-13.778804,50,26.510503
-12.40028,50,26.869685
-10.211916,50,26.988159
-11.793155,50,27.108552
-13.451113,50,27.231312
-10.406073,50,27.3519
-10.703004,50,27.465534
-10.508056,50,27.587309
-12.322342,50,27.70644
-11.092937,50,28.067164
-9.879026,50,30.074094
-12.683197,50,30.801959
-15.757248,50,31.648812
-13.38645,50,32.013112
-12.260205,50,32.379522
-13.954742,50,32.49789
-11.560868,50,32.611515
-11.50469,50,32.730361
-9.997571,50,32.850794
-15.171937,50,32.970944
-13.944719,50,35.483973
-12.013659,50,35.850082
-10.075438,50,35.967786
-11.564131,50,36.329078
-16.70588,50,36.684737
-12.962812,50,36.915905
-12.475043,50,37.272791
-12.336791,50,37.512441
-11.253905,50,37.875163
-11.640601,50,38.116604
-14.617472,50,39.051913
-13.278842,50,39.29723
-11.305323,50,39.778769
-13.021411,50,40.257133
-13.301485,50,40.6115
-12.188385,50,41.324648
-10.713474,50,41.439171
-13.752757,50,41.798878
-16.565531,50,42.040759
-14.370665,50,42.766107
-12.216599,50,43.944289
-12.368631,50,44.305934
-15.007054,50,44.664709
-13.101675,50,44.782829
-12.146287,50,45.134469
-13.190277,50,45.366616
-8.320452,50,46.558082
-12.527716,50,46.913997
-17.352361,50,47.273203
-13.379218,50,47.513069
-10.384924,50,47.870607
-9.015829,50,49.224638
-9.204542,50,49.339323
-16.186482,50,49.450783
-13.443952,50,49.562271
-11.772505,50,49.67474
-10.303516,50,50.028613
-8.828548,50,50.387434
-10.26711,50,50.747471
-13.579171,50,50.868669
-11.713452,50,51.473242
-9.819675,50,54.366155
-11.743777,50,54.481805
-11.23366,50,54.597549
-12.310487,50,54.709905
-13.194086,50,54.822536
-13.000854,50,54.936049
-7.354967,50,55.055396
-13.09371,50,55.176368
-14.04407,50,55.661581
-12.593784,50,55.789359
-16.033219,50,57.950115
-8.098346,50,58.666331
-9.176996,50,58.89821
-8.004217,50,59.129661
-13.264298,50,59.481929
-16.62057,50,59.715256
-12.103557,50,60.07618
-13.916631,50,60.316326
-14.59131,50,60.439061
-8.559505,50,60.567047
-11.289007,50,62.24789
-10.526869,50,63.817601
-13.47018,50,64.174127
-17.798739,50,64.411336
-11.14558,50,64.764079
-11.1444,50,64.992712
-13.604418,50,65.355282
-11.789634,50,65.477624
-14.246919,50,65.607666
-10.787915,50,65.740764
-10.506094,50,65.870454
-13.017139,50,66.777625
-8.128349,50,66.892293
-16.143236,50,67.245474
-12.280975,50,67.357955
-17.491723,50,68.555
-13.828438,50,68.918259
-13.34842,50,69.526162
-11.683085,50,69.902801
-15.865716,50,70.51583
-12.447771,50,70.887786
-12.824103,50,71.679742
-11.662014,50,71.792845
-13.757126,50,71.906297
-12.054826,50,72.016683
-13.982066,50,72.3711
-11.485216,50,72.613595
-14.099881,50,73.585322
-11.774895,50,74.441958
-14.22746,50,75.30136
-14.95658,50,75.547924
-13.419579,50,76.821484
-9.094709,50,76.931803
-14.264845,50,77.044675
-10.720827,50,77.157069
-12.488246,50,77.512884
-18.121904,50,77.880732
-13.032823,50,78.136644
-12.156313,50,78.510596
-12.158327,50,78.878686
-11.512885,50,79.113034
-13.14477,50,81.834179
-13.766721,50,82.071333
-11.764359,50,82.187767
-15.365663,50,82.30456
-10.11607,50,82.426942
-9.325067,50,82.559876
-8.856114,50,82.694488
-12.331715,50,82.821667
-14.111232,50,82.944603
-12.265663,50,83.059641
-12.638249,50,83.17112
-11.200236,50,84.827511
-12.466052,50,85.784613
-13.044419,50,86.752759
-10.007043,50,87.005834
-12.798174,50,87.384718
-10.49363,50,87.757837
-11.141817,50,88.003112
-11.486095,50,88.128681
-14.943136,50,88.364824
-10.541162,50,88.716772
-13.801463,50,91.323261
-10.271201,50,91.688811
-12.692908,50,92.055526
-9.738191,50,92.428308
-13.701925,50,92.681747
-13.005786,50,93.046939
-14.494567,50,93.167083
-11.582619,50,93.284667
-13.316313,50,93.397196
-12.848523,50,93.509403
-12.375597,50,95.410816
-12.859014,50,96.018627
-15.745119,50,96.384695
-18.597462,50,96.99765
-9.628896,50,97.72981
-12.325446,50,97.97145
-16.22553,50,98.332942
-13.925677,50,98.447274
-10.745571,50,98.560786
-12.730937,50,98.673634
-15.658502,50,99.728646
-15.539191,50,100.094397
-12.429993,50,100.343949
-11.560073,50,101.311239
-14.045818,50,101.676283
-14.285421,50,101.912962
-10.950726,50,102.396068
-14.028866,50,102.513432
-14.2943,50,103.226827
-17.007191,50,103.578559
-11.879427,50,103.690499
-10.837083,50,104.614203
-8.494467,50,104.735252
-14.479101,50,104.862305
-8.377138,50,104.987644
-12.366507,50,105.10951
-11.712253,50,105.229783
-13.460164,50,105.585964
-12.719898,50,105.81879
-17.982315,50,106.536386
-15.859208,50,107.008789
-13.531703,50,109.525121
-8.243077,50,109.768928
-14.247549,50,110.015846
-11.66127,50,110.139934
-9.07616,50,110.501694
-9.842031,50,110.620934
-7.984048,50,110.730857
-16.569511,50,111.081792
-12.731081,50,111.315116
-11.370561,50,111.906917
-14.183805,50,114.75078
-15.22635,50,114.873357
-11.716891,50,115.121583
-14.151015,50,115.244596
-13.276917,50,115.3639
-13.318942,50,115.480101
-10.014369,50,115.594976
-14.762507,50,115.705428
-11.963138,50,115.817403
-10.337225,50,115.932711
-12.985857,50,118.185948
-10.88574,50,119.147991
-12.586143,50,119.389915
-13.005819,50,119.761492
-14.617496,50,120.126096
-11.889828,50,120.247223
-8.291281,50,120.368139
-9.681546,50,120.719215
-6.702684,50,120.952393
-11.188989,50,121.073502
-13.12312,50,121.433522
-14.288106,50,123.095586
-11.826599,50,123.697338
-12.506402,50,124.42341
-12.194793,50,125.025698
-15.425823,50,125.265931
-9.214843,50,125.625776
-12.483233,50,125.864905
-11.718954,50,126.106189
-16.439147,50,126.22583
-12.491119,50,126.345391
-12.493795,50,127.374013
-12.880574,50,127.615797
-12.231702,50,127.980161
-10.407413,50,128.587234
-13.508335,50,129.191704
-12.145665,50,129.920351
-13.530265,50,130.164956
-13.302448,50,130.526581
-16.585686,50,130.767808
-10.819757,50,131.126403
-15.202031,50,132.487251
-15.690709,50,132.612039
-8.876971,50,132.737614
-12.438188,50,133.097119
-13.750202,50,133.704385
-10.023994,50,134.309976
-13.844557,50,135.031289
-14.190234,50,135.274026
-13.950216,50,135.993117
-14.651587,50,136.34822
-11.114786,50,137.402467
-15.514462,50,137.531881
-10.228617,50,137.658041
-14.157496,50,137.78378
-11.826989,50,138.151882
-14.42758,50,138.272908
-14.981885,50,138.392378
-11.023717,50,138.504421
-7.118667,50,138.616287
-13.655696,50,139.087495
-14.64938,50,141.144029
-15.3302,50,141.509764
-15.066733,50,142.117872
-11.195046,50,142.84862
-14.161317,50,143.099227
-13.911085,50,143.214402
-11.590937,50,143.326975
-14.437508,50,143.439242
-10.881499,50,143.790617
-13.981063,50,143.903632
-15.376954,50,144.25654
-8.200185,50,147.033538
-11.707137,50,147.401544
-17.778855,50,147.647874
-13.869152,50,148.009845
-8.060283,50,148.241766
-14.040364,50,148.354417
-12.852229,50,148.586691
-11.072211,50,148.699302
-12.99328,50,148.810416
-8.908386,50,149.163413
-13.443259,50,152.526493
-11.22123,50,152.895916
-14.126502,50,153.14309
-14.574486,50,153.379903
-11.537416,50,153.490613
-13.197722,50,153.602244
-12.487545,50,153.71413
-10.679294,50,153.827119
-13.536836,50,153.937989
-11.349885,50,154.051165
-14.719928,50,156.089623
-13.186087,50,156.462563
-12.270577,50,156.82608
-12.370458,50,157.182276
-7.727595,50,157.653046
-12.279767,50,158.24598
-11.699019,50,158.603411
-18.328977,50,158.834919
-15.762077,50,159.066307
-12.338505,50,159.177723
-10.835504,50,160.158252
-9.818332,50,160.403569
-11.951605,50,161.002636
-15.218904,50,161.35584
-13.997404,50,162.073095
-12.328735,50,162.185085
-13.49139,50,162.536983
-13.119682,50,163.132257
-11.851961,50,163.849926
-12.934568,50,164.081925
-12.488293,50,164.314632
-9.653643,50,165.653715
-10.643731,50,166.380617
-13.561233,50,166.496321
-11.743848,50,167.091794
-12.54078,50,167.444192
-14.729623,50,167.676859
-11.883426,50,168.392097
-10.441865,50,168.741347
-13.222259,50,168.852531
-10.755947,50,169.207941
-11.346765,50,170.410051
-17.031108,50,170.773466
-12.131439,50,171.007776
-11.625667,50,171.359222
-15.583549,50,171.713194
-13.876457,50,172.069256
-10.602866,50,172.180437
-12.554724,50,172.532
-12.093009,50,172.883212
-9.560872,50,173.36679
-17.428375,50,175.422698
-11.211873,50,175.53965
-12.606473,50,175.654044
-16.344904,50,175.766209
-12.128784,50,175.88003
-11.55084,50,175.993866
-20.512473,50,176.104006
-13.691512,50,176.457863
-12.956837,50,176.818954
-12.006708,50,177.300028
-9.571374,50,179.822274
-13.480575,50,180.18478
-14.180529,50,180.420789
-14.275647,50,180.773632
-16.262352,50,181.246329
-13.813413,50,181.357008
-8.605723,50,181.46755
-9.562385,50,181.587142
-15.14788,50,181.946751
-9.957203,50,182.188167
-11.903588,50,182.904987
-7.580277,50,185.323766
-15.095169,50,185.678249
-12.597485,50,185.911788
-13.046191,50,186.505454
-12.481064,50,186.861535
-11.514167,50,186.985242
-12.953102,50,187.105421
-11.255078,50,187.226511
-10.81878,50,187.345315
-10.193413,50,187.458195
-7.60424,50,189.949252
-15.098021,50,190.187847
-11.678493,50,190.539524
-12.647173,50,190.650448
-11.408065,50,191.007924
-14.414216,50,191.731201
-11.415113,50,192.090275
-9.317321,50,192.211505
-16.138595,50,192.566447
-12.680569,50,192.920666
-11.104387,50,195.310524
-9.991102,50,195.545973
-14.554311,50,195.902624
-15.000101,50,196.497207
-12.044941,50,196.985289
-11.448716,50,197.10957
-16.328078,50,197.470516
-12.971261,50,197.705448
-13.38481,50,198.056714
-11.316761,50,198.169225
-15.320511,50,199.846216
-13.748352,50,200.203227
-13.188563,50,200.433105
-11.36871,50,200.797859
-8.053831,50,201.157336
-11.605459,50,201.515707
-13.682091,50,201.633862
-15.060846,50,201.985575
-12.467566,50,202.337795
-10.225176,50,202.810509
-8.081367,50,203.049556
-14.676697,50,205.104964
-10.974237,50,205.346462
-13.949173,50,205.706427
-11.715249,50,205.945702
-8.429052,50,206.304086
-10.733972,50,206.661286
-15.264868,50,207.014336
-15.645624,50,207.125935
-10.564301,50,207.718032
-9.367753,50,207.959463
-12.154953,50,209.383037
-15.232794,50,209.50561
-11.410188,50,209.626445
-9.500513,50,209.864379
-12.725423,50,210.816928
-12.305544,50,211.048748
-12.608385,50,212.004741
-10.349903,50,212.599756
-13.902479,50,212.958659
-10.216021,50,213.801635
-10.812603,50,214.990113
-9.155983,50,215.10972
-12.990815,50,215.351087
-11.525257,50,215.706411
-11.847928,50,215.938087
-13.608235,50,216.291299
-15.663828,50,216.524692
-14.622521,50,216.75715
-14.701339,50,217.593949
-16.688863,50,217.714257
-14.532295,50,219.028163
-16.470326,50,219.389453
-12.418868,50,219.502886
-11.835946,50,219.857216
-9.214339,50,219.96875
-6.467316,50,220.082067
-14.642777,50,220.194277
-10.317276,50,220.548559
-10.633155,50,220.659353
-10.239315,50,221.016404
-12.055224,50,221.620917
-10.842769,50,224.522332
-11.622703,50,224.874881
-10.28723,50,224.988865
-11.822986,50,225.33997
-14.488444,50,225.452576
-15.420978,50,225.563756
-15.016518,50,225.675677
-12.599333,50,225.786357
-11.447917,50,226.143773
-14.163448,50,226.504369
-12.872689,50,228.781712
-13.930684,50,228.896231
-10.876604,50,229.610773
-12.590137,50,229.962995
-11.032652,50,230.072157
-10.414932,50,230.183566
-11.544795,50,230.295008
-12.286105,50,230.645447
-10.800581,50,231.002793
-14.661398,50,231.240042
-13.238652,50,233.046669
-8.602155,50,233.397705
-13.746039,50,234.110445
-17.462927,50,234.221097
-11.307064,50,234.572737
-13.043524,50,235.164837
-10.57304,50,235.396773
-9.777233,50,235.758995
-12.103354,50,235.993631
-11.513141,50,236.355351
-14.501503,50,237.55477
-17.957022,50,237.907726
-10.096603,50,238.139389
-15.706872,50,238.492418
-14.444479,50,238.725126
-11.652715,50,239.317824
-12.825839,50,239.79169
-11.375352,50,239.906655
-8.544629,50,240.865377
-13.617666,50,241.226012
-14.602913,50,241.590339
-14.433851,50,242.532565
-10.899928,50,242.644536
-12.434693,50,242.996923
-13.852712,50,243.227338
-16.207884,50,243.580212
-13.098178,50,243.811491
-11.592373,50,244.405758
-13.457159,50,245.130379
-14.580409,50,245.85493
-13.208607,50,245.975577
-13.225182,50,247.730427
-11.059439,50,247.842911
-11.160869,50,247.954021
-13.97719,50,248.064792
-8.686023,50,248.296907
-12.347087,50,248.527978
-18.962198,50,248.884638
-14.056847,50,249.121369
-9.87038,50,249.487636
-7.925353,50,249.857727
-9.811758,50,252.606776
-9.547009,50,252.838286
-14.095114,50,252.949192
-10.28355,50,253.060952
-14.870364,50,253.172525
-13.122253,50,253.285769
-11.452947,50,253.39718
-14.127725,50,253.633143
-13.923332,50,253.750072
-10.575412,50,254.001092
-8.267855,50,257.136161
-13.470613,50,257.489817
-11.094868,50,257.964624
-9.167399,50,258.196847
-13.273349,50,258.307168
-14.784398,50,258.420406
-14.104246,50,258.533313
-13.580723,50,258.769183
-14.17404,50,258.891288
-11.399624,50,259.021825
-10.446585,50,260.694837
-8.507727,50,261.17923
-11.99965,50,261.293852
-14.657953,50,261.647949
-14.327846,50,262.243747
-9.724521,50,262.477806
-10.657362,50,262.828895
-12.685147,50,262.944641
-11.463558,50,263.066384
-10.671799,50,263.439383
-10.167411,50,263.813755
-14.694588,50,265.222682
-10.021505,50,265.574917
-16.154784,50,265.807475
-12.078055,50,266.281786
-11.835546,50,266.395274
-12.226804,50,266.747534
-8.565557,50,266.981566
-12.488777,50,267.584841
-8.480168,50,268.321757
-11.808377,50,268.45409
-10.885893,50,269.620759
-15.730564,50,269.733148
-11.12669,50,269.843389
-10.436501,50,270.315057
-7.584936,50,270.90664
-14.892463,50,271.259674
-14.691302,50,271.493776
-8.477163,50,271.862062
-11.44663,50,272.590596
-11.351462,50,272.846683
-11.535502,50,275.221479
-14.904919,50,275.571657
-15.4767,50,275.80593
-16.757192,50,276.038028
-13.452722,50,276.392821
-11.577709,50,276.624838
-13.183124,50,276.978953
-11.720332,50,277.347201
-11.401121,50,278.193322
-10.754641,50,278.691671
-14.655697,50,279.627332
-13.108021,50,279.738855
-10.839353,50,280.091034
-10.620996,50,280.202325
-11.515679,50,280.313399
-14.354108,50,280.666514
-12.074666,50,281.138635
-15.816414,50,281.509707
-14.447517,50,281.878274
-14.265996,50,282.248287
-13.885019,50,282.500672
-12.860657,50,285.226586
-13.542959,50,285.577649
-12.770781,50,285.689552
-13.779794,50,285.802555
-13.66722,50,285.91568
-10.919596,50,286.027511
-11.275051,50,286.394761
-10.868257,50,286.764528
-11.353468,50,287.011265
-9.705126,50,287.38464
-9.418003,50,290.120974
-14.529609,50,290.234872
-10.661997,50,290.345752
-15.075425,50,290.700602
-14.483854,50,291.052045
-7.364931,50,291.287133
-18.505488,50,291.412346
-7.80189,50,291.538758
-12.85472,50,291.665843
-8.210154,50,291.915407
-16.26377,50,293.684966
-12.897176,50,294.280388
-11.001812,50,294.636532
-13.184212,50,294.990752
-11.101963,50,295.346812
-10.683509,50,295.459564
-10.099574,50,295.582679
-16.160069,50,295.709188
-9.854977,50,295.83724
-15.637933,50,295.969362
-10.339865,50,297.158796
-7.892925,50,297.99232
-12.855352,50,298.345504
-11.773649,50,298.577722
-10.741513,50,298.930482
-9.884006,50,299.167745
-11.354566,50,299.778903
-13.590872,50,300.151405
-17.69598,50,300.761102
-14.660923,50,301.612846
-7.880036,50,301.735543
-13.788315,50,303.258765
-11.108921,50,303.489653
-10.532795,50,303.841498
-16.604304,50,304.073476
-12.021567,50,304.434418
-12.84913,50,304.681324
-11.546329,50,305.412463
-16.845212,50,305.665888
-10.77807,50,305.798315
-11.000931,50,306.159597
-12.496364,50,307.068674
-10.407321,50,307.179099
-15.286378,50,307.289985
-14.345991,50,307.399966
-15.219244,50,307.51691
-12.27606,50,307.644822
-15.6912,50,307.772379
-12.138103,50,308.146383
-13.216723,50,308.513513
-8.565476,50,308.748614
-10.156471,50,311.344361
-14.956856,50,311.699463
-11.886626,50,312.292204
-11.840638,50,312.646633
-11.987082,50,313.004509
-15.296405,50,313.132414
-12.922161,50,313.500655
-10.279971,50,313.868132
-13.159094,50,314.118933
-14.210834,50,314.482158
-12.10631,50,316.847224
-13.86412,50,317.321411
-11.307021,50,317.433447
-13.28312,50,317.78639
-11.542049,50,318.143092
-16.403454,50,318.387442
-12.643506,50,318.632466
-13.384882,50,318.760274
-15.042402,50,319.011022
-12.129242,50,319.372829
-12.400562,50,319.611571
-15.781107,50,321.740197
-8.224627,50,322.455409
-12.755369,50,322.568831
-9.217865,50,322.683139
-10.936178,50,323.051432
-14.534513,50,323.179138
-16.138769,50,323.3068
-11.703741,50,323.67817
-9.334616,50,323.796704
-14.351265,50,323.914323
-10.656164,50,325.181793
-12.941771,50,325.292266
-10.345167,50,325.648675
-10.831319,50,325.884235
-11.016022,50,326.252095
-12.125943,50,326.622656
-10.973321,50,327.229637
-11.252854,50,327.838756
-12.206769,50,328.326585
-15.028942,50,328.573446
-10.344155,50,329.939885
-9.701221,50,330.534861
-11.272425,50,330.891607
-10.977758,50,331.132991
-5.684069,50,331.379589
-12.675155,50,331.746716
-10.464527,50,332.113526
-16.31173,50,332.835032
-12.689866,50,332.953311
-16.102441,50,333.314547
-13.905556,50,334.831007
-13.344624,50,335.181777
-13.486323,50,335.293742
-13.734572,50,335.777934
-13.4414,50,335.904288
-11.72828,50,336.27271
-10.684989,50,336.640177
-12.525573,50,336.883257
-10.350615,50,337.243506
-9.134594,50,337.604137
-6.139479,50,338.445606
-11.866678,50,340.004538
-11.746203,50,340.361938
-11.647064,50,340.490182
-13.564363,50,340.617195
-9.037883,50,340.983741
-11.491354,50,341.592941
-12.558683,50,341.953803
-14.513989,50,342.311463
-14.256891,50,342.551313
-13.100472,50,342.913509
-12.925969,50,344.733669
-13.74006,50,344.862021
-12.875331,50,345.228501
-13.843306,50,345.354085
-9.983385,50,345.478249
-13.619867,50,345.847245
-13.763566,50,346.091015
-15.488314,50,346.45056
-8.331451,50,346.570677
-11.422065,50,346.684513
-11.399857,50,349.624283
-14.595784,50,350.230592
-10.611481,50,351.201569
-12.11116,50,351.572803
-13.61481,50,351.701864
-11.337616,50,351.829162
-13.301233,50,351.949361
-12.378938,50,352.308079
-7.138389,50,352.546338
-14.021932,50,352.781444
-10.672593,50,355.251733
-11.057726,50,355.979705
-13.22634,50,356.108675
-8.336927,50,356.473774
-13.848909,50,356.843207
-11.887134,50,357.086528
-12.215344,50,357.202259
-12.483679,50,357.321275
-8.976018,50,357.438859
-6.617647,50,357.558853
-7.67138,50,357.669317
-13.87101,50,359.43263
-13.971001,50,360.041831
-12.027342,50,360.774839
-14.497635,50,361.14248
-10.876957,50,361.263254
-5.457447,50,361.385658
-15.272656,50,361.505582
-14.095533,50,361.625439
-9.218547,50,361.743197
-12.737775,50,362.099653
-12.529465,50,363.382573
-13.407756,50,364.112539
-11.741708,50,364.361127
-11.449235,50,364.734127
-12.615095,50,365.097069
-13.077676,50,365.33886
-8.994443,50,366.066215
-12.057629,50,366.429833
-14.348593,50,366.792857
-9.602901,50,366.906265
-12.494297,50,368.435777
-11.695726,50,368.681167
-7.139038,50,369.050092
-11.773055,50,369.416148
-8.793836,50,369.65999
-9.376432,50,370.016578
-16.343411,50,370.255557
-12.416763,50,370.62027
-11.329224,50,371.220217
-11.570494,50,372.517364
-14.61888,50,373.952029
-9.488898,50,374.319653
-7.52983,50,374.569922
-14.393432,50,374.933639
-12.270803,50,375.292001
-8.245701,50,375.531658
-11.103901,50,375.892756
-12.922297,50,376.252345
-11.772937,50,376.728559
-8.369208,50,377.080709
-11.198959,50,379.085576
-12.533221,50,379.21055
-13.879786,50,379.456636
-8.664096,50,379.575164
-9.114066,50,379.81442
-14.218762,50,380.055688
-13.641261,50,380.417257
-12.245889,50,380.65674
-9.800365,50,381.01555
-6.998696,50,381.247591
-14.228017,50,381.603035
-12.988551,50,383.976547
-11.211598,50,384.105197
-15.400613,50,384.228975
-10.515481,50,384.34831
-10.00893,50,384.708714
-19.759635,50,385.067664
-12.075947,50,385.308299
-11.478263,50,385.547815
-9.498592,50,385.903945
-13.338968,50,386.134956
-11.952344,50,388.391036
-15.756219,50,388.520941
-10.924057,50,388.643894
-11.340977,50,388.76417
-11.223823,50,388.885249
-12.01664,50,389.245842
-9.850588,50,389.365359
-10.874067,50,389.486558
-8.664118,50,389.836356
-10.749085,50,390.186786
-10.831659,50,392.585122
-9.010619,50,393.687634
-13.904124,50,393.810267
-15.240329,50,394.768839
-13.803481,50,395.128264
-11.513397,50,395.243798
-11.656947,50,395.358893
-10.418704,50,395.596852
-10.823789,50,395.71173
-9.650698,50,395.82269
-13.337919,50,397.102439
-13.381598,50,397.473775
-11.995842,50,397.71615
-8.937083,50,398.317407
-13.264176,50,398.672704
-12.797232,50,399.032202
-13.247396,50,399.749358
-15.014923,50,399.869628
-16.668619,50,400.228554
-11.703754,50,400.586732
-9.897792,50,400.698591
-10.483444,50,402.004672
-12.306398,50,402.247923
-11.918073,50,402.608858
-12.493673,50,402.841894
-8.812832,50,403.200551
-10.250184,50,403.561508
-11.70813,50,404.166012
-13.844792,50,404.40876
-15.687044,50,404.895467
-11.330394,50,405.253211
-11.627726,50,406.895503
-13.019731,50,407.017687
-15.245319,50,407.134921
-8.008572,50,407.496487
-6.928249,50,407.732873
-10.854127,50,408.093122
-9.688591,50,408.328647
-9.300502,50,408.692405
-8.364801,50,409.174244
-16.377807,50,409.288354
-10.487167,50,411.415403
-11.854794,50,411.540617
-11.06088,50,411.661817
-12.649933,50,411.780799
-14.000892,50,412.134922
-10.238863,50,412.253144
-15.282021,50,412.372451
-8.702932,50,412.732974
-9.061453,50,412.85219
-9.862046,50,413.203452
-13.027667,50,416.065336
