#{"t_start": 1707495171.2145977, "env_id": "None"}
r,l,t
-14.46774,50,6.079085
-12.206276,50,6.423887
-11.174514,50,6.648653
-13.622252,50,6.747464
-15.314982,50,6.841204
-15.134133,50,6.933469
-11.117362,50,7.024079
-14.296588,50,7.118029
-11.530496,50,7.207082
-14.787721,50,7.549263
-13.879165,50,9.571089
-13.890637,50,9.782628
-13.598753,50,10.363946
-13.426931,50,11.189256
-15.382373,50,11.536069
-15.758493,50,11.881268
-11.012441,50,11.989141
-9.937559,50,12.574013
-13.12386,50,12.910285
-16.298896,50,13.006927
-14.83091,50,14.330371
-13.15637,50,14.54137
-15.895425,50,15.120261
-12.361517,50,15.464356
-8.812374,50,16.170979
-14.354327,50,16.273287
-11.969057,50,16.615255
-10.87489,50,17.078233
-14.874055,50,17.419197
-15.459123,50,17.638939
-16.599401,50,18.422539
-13.283605,50,18.513843
-16.822777,50,18.604056
-11.307837,50,18.704147
-13.307343,50,18.801364
-11.925694,50,18.898601
-12.594742,50,18.995591
-12.705368,50,19.093212
-16.374808,50,19.189549
-10.910814,50,19.288782
-11.508721,50,20.722556
-11.808589,50,20.821042
-10.765659,50,21.150846
-12.831532,50,21.487261
-4.62647,50,21.583587
-13.48983,50,22.165979
-13.790264,50,22.386002
-7.615905,50,22.845599
-11.251515,50,22.938926
-14.181195,50,23.276851
-9.123413,50,23.37215
-12.864156,50,24.878712
-10.788628,50,25.087631
-9.702201,50,25.298934
-8.48502,50,26.117854
-9.15267,50,26.677815
-6.368739,50,27.360251
-7.923996,50,27.437163
-9.996367,50,27.637669
-10.003508,50,27.83438
-6.297757,50,28.043061
-7.292733,50,29.025357
-11.830008,50,29.105109
-11.55178,50,29.183551
-13.21909,50,29.259671
-7.17294,50,29.33722
-9.375397,50,29.413307
-10.839848,50,29.491076
-10.637574,50,29.56707
-12.822923,50,29.645085
-12.494259,50,29.723729
-14.399709,50,30.313615
-16.962136,50,30.38995
-14.159501,50,30.46567
-11.33502,50,30.542775
-10.571096,50,30.61815
-8.219199,50,30.815903
-13.250733,50,31.011141
-14.368675,50,31.206112
-9.971035,50,31.762651
-12.527748,50,31.959071
-13.783168,50,33.914785
-8.615472,50,34.228209
-9.238789,50,34.300709
-14.247515,50,34.375504
-10.709717,50,34.569679
-10.553322,50,34.645219
-8.619109,50,34.719092
-12.298312,50,34.796106
-15.009241,50,34.870784
-8.073441,50,34.946017
-10.658363,50,35.025665
-7.761066,50,36.030797
-8.472335,50,36.106607
-11.368902,50,36.41173
-10.120086,50,36.485109
-11.034975,50,37.253707
-12.625888,50,38.02374
-14.313339,50,38.09977
-11.137852,50,38.873731
-10.936873,50,39.642689
-10.06189,50,40.410531
-8.301546,50,42.526576
-14.735641,50,42.71808
-10.298654,50,43.025736
-13.116237,50,43.100166
-8.253984,50,43.881413
-10.285724,50,44.545572
-14.93928,50,44.621486
-16.432775,50,44.93671
-10.510922,50,45.011555
-8.738906,50,45.2052
-16.330574,50,46.395694
-7.506082,50,46.471343
-8.122906,50,46.547014
-10.573831,50,46.624425
-6.735806,50,46.69922
-9.624095,50,46.774294
-9.537318,50,46.851661
-10.307408,50,46.927621
-7.745066,50,47.00091
-11.677912,50,47.063669
-7.53835,50,48.90505
-9.483152,50,49.211416
-12.798614,50,49.288266
-8.461812,50,49.848192
-6.828017,50,50.051733
-13.347938,50,50.25505
-11.699032,50,51.053396
-10.786909,50,51.252427
-5.37557,50,51.327065
-9.941805,50,51.401562
-9.986788,50,51.478325
-10.962417,50,52.14797
-15.69366,50,52.220974
-11.198205,50,52.758512
-13.507803,50,53.529916
-12.523942,50,54.069979
-14.608669,50,54.155967
-11.941223,50,54.698885
-10.854902,50,55.018919
-14.038431,50,55.094188
-9.686361,50,55.407294
-14.253696,50,57.224209
-14.632137,50,57.421863
-10.653042,50,57.618582
-17.704311,50,57.816155
-11.742484,50,58.021156
-12.560327,50,58.228286
-13.227221,50,58.433584
-17.489056,50,58.752518
-12.918911,50,58.836694
-11.189493,50,59.514134
-13.148596,50,61.352947
-11.119529,50,61.550799
-13.986495,50,61.747134
-8.63613,50,61.944439
-11.801784,50,62.032333
-16.655292,50,62.130223
-11.677559,50,62.228574
-10.759921,50,62.327811
-11.915332,50,62.426461
-10.917704,50,62.516644
-17.374223,50,64.396987
-13.640345,50,64.474765
-17.586299,50,64.780866
-11.788092,50,64.855974
-11.542883,50,65.172803
-14.554109,50,65.261342
-13.99068,50,66.039678
-13.893781,50,66.844365
-8.910877,50,67.181323
-12.754764,50,67.281685
-11.394981,50,68.767762
-11.625244,50,71.584032
-14.406199,50,72.366577
-15.558484,50,72.687865
-13.88062,50,73.479178
-12.127776,50,73.811339
-10.930372,50,73.912237
-11.967568,50,74.713087
-11.95202,50,75.277169
-12.202487,50,75.836814
-11.777237,50,76.05495
-13.96416,50,78.991671
-11.713643,50,79.20479
-13.962127,50,79.415922
-11.543121,50,79.745877
-11.571226,50,79.84157
-13.21393,50,80.168714
-12.598083,50,80.391145
-15.107704,50,80.618014
-10.808101,50,80.950463
-12.28886,50,81.16976
-13.043436,50,83.641222
-13.412129,50,83.730424
-13.976528,50,83.939532
-12.701058,50,84.730994
-13.660994,50,85.886309
-9.440662,50,86.680876
-15.785343,50,87.478439
-10.289095,50,87.814898
-9.78106,50,88.606399
-11.58159,50,89.399236
-11.618955,50,91.79289
-8.800891,50,92.001716
-12.173675,50,92.572813
-12.098061,50,92.791546
-10.961117,50,93.375104
-14.789931,50,93.598631
-14.293327,50,94.071158
-10.663382,50,94.179035
-12.692925,50,95.002609
-13.907475,50,95.099017
-14.403536,50,95.195897
-14.701639,50,95.884446
-13.19179,50,95.980406
-10.548114,50,96.079345
-14.535805,50,96.17888
-15.066969,50,96.276989
-15.725542,50,96.382894
-11.797911,50,96.483309
-15.819252,50,96.579629
-11.374774,50,96.67854
-12.209407,50,96.897833
-13.67471,50,99.642698
-10.989389,50,99.879868
-10.750986,50,100.477582
-10.702569,50,101.083299
-9.120862,50,101.207233
-13.080672,50,101.32712
-14.197424,50,101.438399
-18.622421,50,101.77798
-11.428699,50,101.996204
-12.348825,50,102.215241
-14.068692,50,104.783923
-9.85332,50,105.155302
-12.577523,50,105.400475
-12.705299,50,105.517758
-14.7872,50,105.633743
