#{"t_start": 1707495266.604697, "env_id": "None"}
r,l,t
-10.637689,50,2.601256
-12.046073,50,2.721332
-13.11257,50,3.439715
-11.319763,50,3.682516
-17.166844,50,4.275228
-15.393191,50,4.632138
-9.756227,50,5.605957
-10.616461,50,5.731646
-14.795098,50,5.856097
-9.300057,50,5.979614
-12.496089,50,10.065949
-15.301052,50,10.182464
-11.910449,50,10.299745
-14.039243,50,10.419456
-11.458147,50,10.538828
-12.718287,50,10.659093
-15.169683,50,10.780353
-15.768657,50,10.900909
-9.989309,50,11.257802
-12.960655,50,11.373196
-13.823286,50,12.50932
-10.300537,50,13.471413
-8.960838,50,14.315855
-16.011655,50,15.040983
-10.682501,50,15.652467
-12.365367,50,16.018768
-13.77279,50,16.264756
-9.270334,50,16.382668
-14.022238,50,16.50184
-12.112867,50,16.62069
-15.847761,50,17.78437
-8.12705,50,18.026017
-11.090835,50,18.38334
-10.685399,50,18.623269
-11.33177,50,18.979026
-10.256213,50,19.217127
-14.079259,50,19.697455
-10.609723,50,20.056408
-13.281709,50,20.167397
-7.424853,50,20.526804
-6.960341,50,21.574602
-6.041603,50,21.821436
-11.554536,50,21.941761
-8.132582,50,22.07268
-13.207347,50,22.209377
-10.639321,50,22.345939
-13.332366,50,22.481687
-10.91229,50,22.617613
-9.304634,50,22.748018
-10.525081,50,23.12162
-8.496696,50,23.25746
-11.584882,50,25.307593
-7.591255,50,26.030852
-13.796852,50,26.634084
-10.233338,50,27.138519
-14.299594,50,27.401114
-11.329254,50,27.66141
-13.534434,50,27.797717
-6.932192,50,27.930073
-13.874006,50,28.299607
-11.841608,50,28.432555
-6.87177,50,31.098792
-10.92966,50,31.352301
-9.101947,50,31.968939
-9.978175,50,32.343008
-7.048811,50,32.605237
-14.063924,50,32.745287
-8.67147,50,32.884938
-5.989886,50,33.023467
-10.379744,50,33.152004
-8.489519,50,33.289714
-10.759499,50,34.038629
-15.5679,50,34.414469
-15.82397,50,34.788651
-8.63799,50,34.920639
-11.556798,50,35.303167
-7.497325,50,35.690838
-12.127082,50,36.081822
-8.873411,50,36.841338
-8.57577,50,37.474601
-11.754459,50,37.865464
-7.940653,50,38.935621
-15.095432,50,39.212116
-10.508925,50,39.602602
-11.099751,50,40.097085
-11.820299,50,40.357953
-11.269012,50,40.981412
-12.881205,50,41.733847
-12.690289,50,42.512676
-15.667258,50,42.796447
-14.796698,50,43.20212
-8.644234,50,43.731435
-11.606535,50,44.700382
-15.383586,50,44.857893
-12.083646,50,45.481675
-6.527633,50,45.880657
-11.916058,50,46.529716
-13.774812,50,46.934124
-10.849711,50,47.708185
-12.35262,50,48.35903
-12.344208,50,49.260505
-11.329021,50,49.668278
-17.44222,50,51.41376
-11.371134,50,51.691507
-12.264717,50,52.448144
-14.449161,50,53.06742
-11.349707,50,53.468218
-15.251469,50,53.872534
-11.281394,50,54.275566
-12.454775,50,55.040158
-16.058274,50,55.443007
-14.29867,50,55.965381
-9.774617,50,58.005871
-13.545334,50,59.006459
-13.990492,50,59.408103
-12.382105,50,60.172868
-9.785569,50,60.585848
-12.944304,50,61.243409
-13.953398,50,61.414443
-13.00874,50,61.573711
-12.651689,50,61.733183
-10.799924,50,62.133615
-15.17197,50,64.311438
-10.045533,50,64.706255
-13.038985,50,65.105543
-11.861418,50,65.500667
-13.643302,50,66.50999
